,Zipcode,Stats,Below poverty level,Percent below poverty level,Total
115,60090,Margin of Error,799.0,2.1,272.0
116,60091,Estimate,881.0,3.3,26888.0
117,60091,Margin of Error,245.0,0.9,154.0
118,60093,Estimate,954.0,4.8,19794.0
119,60093,Margin of Error,285.0,1.4,544.0
120,60096,Estimate,145.0,2.2,6687.0
121,60096,Margin of Error,93.0,1.4,37.0
122,60097,Estimate,914.0,8.6,10582.0
123,60097,Margin of Error,466.0,4.2,676.0
124,60098,Estimate,2947.0,9.4,31392.0
125,60098,Margin of Error,627.0,2.0,797.0
126,60099,Estimate,4162.0,14.0,29738.0
127,60099,Margin of Error,841.0,2.8,913.0
128,60101,Estimate,5062.0,13.2,38435.0
129,60101,Margin of Error,900.0,2.3,541.0
130,60102,Estimate,1324.0,4.1,32680.0
131,60102,Margin of Error,497.0,1.5,500.0
132,60103,Estimate,1711.0,4.1,41733.0
133,60103,Margin of Error,481.0,1.2,550.0
134,60104,Estimate,2070.0,11.1,18622.0
135,60104,Margin of Error,893.0,4.8,140.0
136,60106,Estimate,1960.0,9.9,19889.0
137,60106,Margin of Error,666.0,3.3,470.0
138,60107,Estimate,2698.0,6.8,39665.0
139,60107,Margin of Error,633.0,1.6,901.0
140,60108,Estimate,1476.0,6.6,22282.0
141,60108,Margin of Error,382.0,1.7,770.0
142,60109,Estimate,29.0,6.0,484.0
143,60109,Margin of Error,30.0,6.2,162.0
144,60110,Estimate,4524.0,11.6,38997.0
145,60110,Margin of Error,804.0,2.1,581.0
146,60111,Estimate,0.0,0.0,124.0
147,60111,Margin of Error,12.0,22.8,61.0
148,60112,Estimate,382.0,8.5,4501.0
149,60112,Margin of Error,242.0,5.4,325.0
150,60113,Estimate,13.0,4.2,309.0
151,60113,Margin of Error,15.0,4.9,105.0
152,60115,Estimate,10608.0,25.8,41111.0
153,60115,Margin of Error,1086.0,2.7,613.0
154,60118,Estimate,791.0,4.9,15996.0
155,60118,Margin of Error,284.0,1.8,425.0
156,60119,Estimate,394.0,3.8,10388.0
157,60119,Margin of Error,243.0,2.4,806.0
158,60120,Estimate,6536.0,13.1,50016.0
159,60120,Margin of Error,1106.0,2.1,1723.0
160,60123,Estimate,4859.0,10.1,48092.0
161,60123,Margin of Error,847.0,1.7,1981.0
162,60124,Estimate,453.0,2.1,21992.0
163,60124,Margin of Error,305.0,1.4,1253.0
164,60126,Estimate,1716.0,3.6,47587.0
165,60126,Margin of Error,361.0,0.8,543.0
166,60129,Estimate,35.0,15.9,220.0
167,60129,Margin of Error,56.0,21.8,100.0
168,60130,Estimate,1239.0,9.1,13599.0
169,60130,Margin of Error,355.0,2.6,135.0
170,60131,Estimate,2212.0,12.5,17655.0
171,60131,Margin of Error,795.0,4.5,116.0
172,60133,Estimate,4791.0,12.8,37560.0
173,60133,Margin of Error,1035.0,2.7,476.0
174,60134,Estimate,948.0,3.3,28880.0
175,60134,Margin of Error,344.0,1.2,773.0
176,60135,Estimate,511.0,7.3,6994.0
177,60135,Margin of Error,294.0,4.3,419.0
178,60136,Estimate,142.0,1.9,7340.0
179,60136,Margin of Error,201.0,2.7,573.0
180,60137,Estimate,1593.0,4.2,37842.0
181,60137,Margin of Error,392.0,1.1,866.0
182,60139,Estimate,3331.0,9.8,33869.0
183,60139,Margin of Error,705.0,2.1,150.0
184,60140,Estimate,1378.0,7.6,18086.0
185,60140,Margin of Error,601.0,3.3,778.0
186,60141,Estimate,72.0,30.3,238.0
187,60141,Margin of Error,58.0,24.9,132.0
188,60142,Estimate,1723.0,5.9,29206.0
189,60142,Margin of Error,814.0,2.8,742.0
190,60143,Estimate,396.0,3.5,11364.0
191,60143,Margin of Error,229.0,2.0,457.0
192,60144,Estimate,0.0,0.0,67.0
193,60144,Margin of Error,12.0,36.0,40.0
194,60145,Estimate,526.0,17.1,3078.0
195,60145,Margin of Error,397.0,11.5,482.0
196,60146,Estimate,201.0,9.0,2221.0
197,60146,Margin of Error,101.0,4.2,404.0
198,60148,Estimate,2683.0,5.2,51552.0
199,60148,Margin of Error,580.0,1.1,860.0
200,60150,Estimate,339.0,16.4,2071.0
