,Zipcode,Stats,Below poverty level,Percent below poverty level,Total
581,60615,Margin of Error,1073.0,2.3,1972.0
582,60616,Estimate,10033.0,20.1,49952.0
583,60616,Margin of Error,1080.0,2.3,2383.0
584,60617,Estimate,19052.0,23.3,81807.0
585,60617,Margin of Error,2092.0,2.3,3147.0
586,60618,Estimate,8382.0,8.9,94313.0
587,60618,Margin of Error,1337.0,1.4,3602.0
588,60619,Estimate,14750.0,24.1,61198.0
589,60619,Margin of Error,1651.0,2.5,2791.0
590,60620,Estimate,16649.0,24.5,68054.0
591,60620,Margin of Error,1804.0,2.4,3308.0
592,60621,Estimate,10541.0,40.2,26232.0
593,60621,Margin of Error,1261.0,3.9,1612.0
594,60622,Estimate,4984.0,9.5,52491.0
595,60622,Margin of Error,697.0,1.2,2247.0
596,60623,Estimate,21125.0,27.3,77383.0
597,60623,Margin of Error,2137.0,2.4,3168.0
598,60624,Estimate,13742.0,39.8,34505.0
599,60624,Margin of Error,1684.0,3.9,1920.0
600,60625,Estimate,8922.0,11.6,76653.0
601,60625,Margin of Error,1125.0,1.4,2635.0
602,60626,Estimate,10187.0,21.4,47683.0
603,60626,Margin of Error,1214.0,2.3,3125.0
604,60628,Estimate,14952.0,23.2,64411.0
605,60628,Margin of Error,1948.0,2.7,2919.0
606,60629,Estimate,20230.0,18.8,107468.0
607,60629,Margin of Error,2892.0,2.4,4086.0
608,60630,Estimate,3918.0,7.1,55371.0
609,60630,Margin of Error,744.0,1.3,2580.0
610,60631,Estimate,1409.0,5.0,28317.0
611,60631,Margin of Error,384.0,1.3,1663.0
612,60632,Estimate,13916.0,16.2,86108.0
613,60632,Margin of Error,1858.0,2.0,4220.0
614,60633,Estimate,1977.0,16.0,12348.0
615,60633,Margin of Error,619.0,4.8,1402.0
616,60634,Estimate,6548.0,8.7,75220.0
617,60634,Margin of Error,1128.0,1.4,2752.0
618,60636,Estimate,9303.0,31.1,29896.0
619,60636,Margin of Error,1143.0,3.6,1672.0
620,60637,Estimate,14934.0,34.6,43217.0
621,60637,Margin of Error,1250.0,2.8,1871.0
622,60638,Estimate,4928.0,8.7,56890.0
623,60638,Margin of Error,928.0,1.6,2930.0
624,60639,Estimate,15257.0,17.4,87932.0
625,60639,Margin of Error,2251.0,2.2,3280.0
626,60640,Estimate,13267.0,19.4,68383.0
627,60640,Margin of Error,1422.0,1.9,2363.0
628,60641,Estimate,7875.0,11.3,69722.0
629,60641,Margin of Error,1081.0,1.4,2895.0
630,60642,Estimate,1518.0,7.5,20191.0
631,60642,Margin of Error,390.0,1.8,1281.0
632,60643,Estimate,6535.0,13.6,47938.0
633,60643,Margin of Error,1082.0,2.2,2059.0
634,60644,Estimate,14310.0,31.9,44874.0
635,60644,Margin of Error,2208.0,3.7,3360.0
636,60645,Estimate,6942.0,15.0,46410.0
637,60645,Margin of Error,1393.0,2.9,2773.0
638,60646,Estimate,1883.0,6.5,28861.0
639,60646,Margin of Error,681.0,2.3,1711.0
640,60647,Estimate,10750.0,12.6,85238.0
641,60647,Margin of Error,1143.0,1.2,2309.0
642,60649,Estimate,13298.0,28.8,46138.0
643,60649,Margin of Error,1761.0,3.6,2591.0
644,60651,Estimate,15929.0,25.2,63235.0
645,60651,Margin of Error,1845.0,2.8,3581.0
646,60652,Estimate,5809.0,13.8,41989.0
647,60652,Margin of Error,1123.0,2.5,2094.0
648,60653,Estimate,9899.0,30.0,33034.0
649,60653,Margin of Error,1022.0,2.6,1792.0
650,60654,Estimate,1524.0,7.3,20812.0
651,60654,Margin of Error,470.0,2.1,1377.0
652,60655,Estimate,1104.0,4.1,27116.0
653,60655,Margin of Error,357.0,1.4,1318.0
654,60656,Estimate,2518.0,8.7,28971.0
655,60656,Margin of Error,641.0,2.2,1715.0
656,60657,Estimate,5407.0,7.7,70151.0
657,60657,Margin of Error,651.0,0.9,2550.0
658,60659,Estimate,8242.0,19.0,43444.0
659,60659,Margin of Error,1791.0,3.9,2965.0
660,60660,Estimate,6552.0,15.6,42051.0
661,60660,Margin of Error,953.0,2.0,2345.0
662,60661,Estimate,728.0,6.9,10605.0
663,60661,Margin of Error,249.0,2.2,999.0
664,60706,Estimate,1420.0,6.3,22408.0
665,60706,Margin of Error,403.0,1.8,549.0
666,60707,Estimate,2888.0,6.8,42247.0
667,60707,Margin of Error,569.0,1.4,1408.0
668,60712,Estimate,663.0,5.4,12280.0
669,60712,Margin of Error,203.0,1.7,92.0
670,60714,Estimate,2579.0,9.2,28163.0
671,60714,Margin of Error,802.0,2.8,398.0
672,60803,Estimate,1980.0,8.9,22369.0
673,60803,Margin of Error,588.0,2.6,436.0
674,60804,Estimate,11115.0,13.8,80530.0
675,60804,Margin of Error,1284.0,1.6,250.0
676,60805,Estimate,1101.0,5.8,19070.0
677,60805,Margin of Error,389.0,2.0,151.0
678,60827,Estimate,8658.0,30.7,28235.0
679,60827,Margin of Error,1365.0,4.4,1025.0
680,60901,Estimate,7400.0,21.4,34581.0
681,60901,Margin of Error,851.0,2.4,518.0
682,60910,Estimate,69.0,13.5,513.0
683,60910,Margin of Error,39.0,7.1,123.0
684,60911,Estimate,93.0,7.1,1308.0
685,60911,Margin of Error,38.0,2.7,204.0
686,60912,Estimate,68.0,12.8,533.0
687,60912,Margin of Error,38.0,7.3,119.0
688,60913,Estimate,63.0,3.7,1717.0
689,60913,Margin of Error,44.0,2.6,290.0
690,60914,Estimate,2230.0,8.4,26501.0
691,60914,Margin of Error,560.0,2.1,597.0
692,60915,Estimate,1315.0,12.9,10216.0
693,60915,Margin of Error,478.0,4.7,489.0
694,60917,Estimate,32.0,6.5,492.0
695,60917,Margin of Error,24.0,5.4,108.0
696,60918,Estimate,51.0,7.4,693.0
697,60918,Margin of Error,32.0,4.4,123.0
698,60919,Estimate,49.0,9.2,535.0
699,60919,Margin of Error,35.0,6.3,116.0
700,60920,Estimate,12.0,7.4,163.0
701,60920,Margin of Error,15.0,8.3,69.0
702,60921,Estimate,299.0,18.4,1622.0
703,60921,Margin of Error,125.0,7.5,264.0
704,60922,Estimate,343.0,13.5,2550.0
705,60922,Margin of Error,202.0,7.5,325.0
706,60924,Estimate,142.0,9.8,1455.0
707,60924,Margin of Error,58.0,4.1,252.0
708,60926,Estimate,2.0,4.4,45.0
709,60926,Margin of Error,3.0,7.0,19.0
710,60927,Estimate,120.0,5.7,2094.0
711,60927,Margin of Error,63.0,2.9,206.0
712,60928,Estimate,39.0,6.8,574.0
713,60928,Margin of Error,26.0,4.2,95.0
714,60929,Estimate,113.0,18.1,623.0
715,60929,Margin of Error,63.0,9.0,131.0
716,60930,Estimate,130.0,18.0,724.0
717,60930,Margin of Error,68.0,9.4,146.0
718,60931,Estimate,84.0,15.6,540.0
719,60931,Margin of Error,46.0,7.2,112.0
720,60932,Estimate,0.0,0.0,379.0
721,60932,Margin of Error,12.0,8.2,361.0
722,60933,Estimate,51.0,16.5,309.0
723,60933,Margin of Error,29.0,8.4,62.0
724,60934,Estimate,32.0,16.9,189.0
725,60934,Margin of Error,49.0,22.3,70.0
726,60935,Estimate,51.0,4.0,1286.0
727,60935,Margin of Error,40.0,2.7,236.0
728,60936,Estimate,394.0,9.9,3977.0
729,60936,Margin of Error,143.0,3.6,121.0
730,60938,Estimate,181.0,10.3,1749.0
731,60938,Margin of Error,70.0,4.0,192.0
732,60940,Estimate,183.0,6.0,3057.0
733,60940,Margin of Error,84.0,2.7,172.0
734,60941,Estimate,130.0,6.1,2130.0
735,60941,Margin of Error,103.0,4.7,333.0
736,60942,Estimate,1472.0,26.1,5647.0
737,60942,Margin of Error,514.0,9.3,178.0
738,60945,Estimate,42.0,14.7,285.0
739,60945,Margin of Error,28.0,7.5,95.0
740,60946,Estimate,89.0,19.5,457.0
741,60946,Margin of Error,68.0,12.4,118.0
742,60948,Estimate,90.0,5.4,1659.0
743,60948,Margin of Error,54.0,3.3,310.0
744,60949,Estimate,111.0,17.9,621.0
745,60949,Margin of Error,75.0,10.8,171.0
746,60950,Estimate,767.0,7.0,11026.0
747,60950,Margin of Error,289.0,2.5,380.0
748,60951,Estimate,167.0,20.4,817.0
749,60951,Margin of Error,76.0,8.2,132.0
750,60952,Estimate,87.0,16.4,529.0
751,60952,Margin of Error,37.0,6.8,95.0
752,60953,Estimate,248.0,9.5,2601.0
753,60953,Margin of Error,85.0,3.3,246.0
754,60954,Estimate,561.0,10.1,5577.0
755,60954,Margin of Error,190.0,3.4,230.0
756,60955,Estimate,198.0,12.4,1593.0
757,60955,Margin of Error,106.0,6.1,227.0
758,60957,Estimate,584.0,11.3,5157.0
759,60957,Margin of Error,235.0,4.5,264.0
760,60958,Estimate,372.0,24.3,1529.0
761,60958,Margin of Error,176.0,10.8,309.0
762,60959,Estimate,159.0,15.8,1006.0
763,60959,Margin of Error,83.0,7.5,137.0
764,60960,Estimate,111.0,12.6,881.0
765,60960,Margin of Error,92.0,9.6,189.0
766,60961,Estimate,48.0,5.8,833.0
767,60961,Margin of Error,45.0,5.1,217.0
768,60962,Estimate,168.0,27.7,606.0
769,60962,Margin of Error,75.0,10.8,127.0
770,60963,Estimate,153.0,10.3,1481.0
771,60963,Margin of Error,68.0,4.7,248.0
772,60964,Estimate,484.0,10.0,4851.0
773,60964,Margin of Error,158.0,3.1,332.0
774,60966,Estimate,257.0,17.7,1448.0
775,60966,Margin of Error,140.0,8.2,259.0
776,60968,Estimate,104.0,23.5,443.0
777,60968,Margin of Error,69.0,12.9,106.0
778,60969,Estimate,2.0,2.9,69.0
779,60969,Margin of Error,3.0,4.3,38.0
780,60970,Estimate,784.0,12.4,6305.0
781,60970,Margin of Error,207.0,3.2,263.0
782,60973,Estimate,46.0,13.6,338.0
783,60973,Margin of Error,35.0,9.6,147.0
784,60974,Estimate,58.0,19.2,302.0
785,60974,Margin of Error,47.0,13.5,104.0
786,61001,Estimate,182.0,15.9,1146.0
787,61001,Margin of Error,120.0,9.1,219.0
788,61006,Estimate,261.0,17.3,1512.0
789,61006,Margin of Error,181.0,11.3,195.0
790,61007,Estimate,4.0,1.2,332.0
791,61007,Margin of Error,5.0,1.7,124.0
792,61008,Estimate,3660.0,10.8,34022.0
793,61008,Margin of Error,852.0,2.5,808.0
794,61010,Estimate,520.0,7.3,7122.0
795,61010,Margin of Error,224.0,3.1,361.0
796,61011,Estimate,3.0,0.1,2308.0
797,61011,Margin of Error,4.0,0.2,445.0
798,61012,Estimate,184.0,7.1,2589.0
799,61012,Margin of Error,128.0,4.9,419.0
800,61013,Estimate,34.0,8.3,410.0
801,61013,Margin of Error,24.0,6.4,86.0
802,61014,Estimate,149.0,13.0,1145.0
803,61014,Margin of Error,104.0,7.4,259.0
804,61015,Estimate,5.0,0.5,944.0
805,61015,Margin of Error,9.0,0.9,347.0
806,61016,Estimate,320.0,6.5,4907.0
807,61016,Margin of Error,153.0,3.0,506.0
808,61018,Estimate,72.0,6.9,1037.0
809,61018,Margin of Error,46.0,4.4,198.0
810,61019,Estimate,150.0,4.9,3040.0
811,61019,Margin of Error,78.0,2.5,488.0
812,61020,Estimate,400.0,13.5,2971.0
813,61020,Margin of Error,162.0,5.3,231.0
814,61021,Estimate,2418.0,12.5,19287.0
815,61021,Margin of Error,515.0,2.7,522.0
816,61024,Estimate,99.0,4.2,2367.0
817,61024,Margin of Error,43.0,1.9,382.0
818,61025,Estimate,524.0,11.4,4585.0
819,61025,Margin of Error,204.0,4.6,304.0
820,61027,Estimate,0.0,0.0,84.0
821,61027,Margin of Error,12.0,31.0,113.0
822,61028,Estimate,162.0,9.1,1775.0
823,61028,Margin of Error,70.0,3.6,225.0
824,61030,Estimate,176.0,7.8,2246.0
825,61030,Margin of Error,73.0,3.3,326.0
826,61031,Estimate,123.0,8.0,1546.0
827,61031,Margin of Error,61.0,3.7,326.0
828,61032,Estimate,5457.0,19.0,28777.0
829,61032,Margin of Error,847.0,2.9,480.0
830,61036,Estimate,336.0,5.1,6579.0
831,61036,Margin of Error,157.0,2.4,361.0
832,61037,Estimate,0.0,0.0,97.0
833,61037,Margin of Error,12.0,27.8,76.0
834,61038,Estimate,77.0,8.9,869.0
835,61038,Margin of Error,84.0,9.7,318.0
836,61039,Estimate,76.0,8.4,910.0
837,61039,Margin of Error,61.0,6.6,223.0
838,61041,Estimate,278.0,20.7,1345.0
839,61041,Margin of Error,128.0,9.1,244.0
840,61042,Estimate,137.0,20.8,659.0
841,61042,Margin of Error,79.0,10.9,163.0
842,61043,Estimate,37.0,32.5,114.0
843,61043,Margin of Error,50.0,32.0,64.0
844,61044,Estimate,19.0,12.4,153.0
845,61044,Margin of Error,22.0,15.6,63.0
846,61046,Estimate,232.0,10.0,2321.0
847,61046,Margin of Error,83.0,3.5,245.0
848,61047,Estimate,176.0,10.1,1746.0
849,61047,Margin of Error,75.0,4.5,260.0
850,61048,Estimate,236.0,6.4,3683.0
851,61048,Margin of Error,83.0,2.2,157.0
852,61049,Estimate,88.0,12.6,700.0
853,61049,Margin of Error,74.0,10.9,247.0
854,61050,Estimate,0.0,0.0,329.0
855,61050,Margin of Error,12.0,9.4,126.0
856,61051,Estimate,211.0,14.3,1477.0
857,61051,Margin of Error,115.0,6.8,217.0
858,61052,Estimate,6.0,0.7,872.0
859,61052,Margin of Error,8.0,0.9,162.0
860,61053,Estimate,286.0,11.6,2457.0
861,61053,Margin of Error,127.0,4.8,220.0
862,61054,Estimate,870.0,24.9,3496.0
863,61054,Margin of Error,316.0,9.0,203.0
864,61057,Estimate,0.0,0.0,61.0
865,61057,Margin of Error,12.0,38.0,64.0
866,61059,Estimate,12.0,5.1,237.0
867,61059,Margin of Error,10.0,4.7,97.0
868,61060,Estimate,85.0,5.9,1447.0
869,61060,Margin of Error,37.0,2.7,225.0
870,61061,Estimate,531.0,8.3,6369.0
871,61061,Margin of Error,204.0,3.1,351.0
872,61062,Estimate,142.0,6.8,2073.0
873,61062,Margin of Error,59.0,2.9,322.0
874,61063,Estimate,177.0,4.2,4219.0
875,61063,Margin of Error,112.0,2.8,518.0
876,61064,Estimate,727.0,18.5,3927.0
877,61064,Margin of Error,300.0,7.5,270.0
878,61065,Estimate,301.0,2.8,10684.0
879,61065,Margin of Error,230.0,2.1,642.0
880,61067,Estimate,43.0,6.2,691.0
881,61067,Margin of Error,33.0,4.9,180.0
882,61068,Estimate,1049.0,7.5,14043.0
883,61068,Margin of Error,322.0,2.3,263.0
884,61070,Estimate,193.0,12.1,1598.0
885,61070,Margin of Error,75.0,4.8,321.0
886,61071,Estimate,2075.0,15.0,13849.0
887,61071,Margin of Error,459.0,3.3,440.0
888,61072,Estimate,534.0,4.8,11069.0
889,61072,Margin of Error,221.0,2.0,831.0
890,61073,Estimate,1123.0,5.6,19948.0
891,61073,Margin of Error,407.0,1.9,876.0
892,61074,Estimate,552.0,13.3,4147.0
893,61074,Margin of Error,207.0,5.0,175.0
894,61075,Estimate,97.0,9.5,1023.0
895,61075,Margin of Error,46.0,4.8,138.0
896,61077,Estimate,0.0,,0.0
897,61077,Margin of Error,12.0,,12.0
898,61078,Estimate,66.0,5.2,1270.0
899,61078,Margin of Error,38.0,2.9,203.0
900,61079,Estimate,5.0,2.6,189.0
901,61079,Margin of Error,9.0,5.1,87.0
902,61080,Estimate,1136.0,11.4,9953.0
903,61080,Margin of Error,453.0,4.5,682.0
904,61081,Estimate,1767.0,8.6,20447.0
905,61081,Margin of Error,451.0,2.2,374.0
906,61084,Estimate,190.0,6.1,3102.0
907,61084,Margin of Error,122.0,3.9,329.0
908,61085,Estimate,317.0,10.7,2972.0
909,61085,Margin of Error,119.0,3.9,275.0
910,61087,Estimate,123.0,8.9,1389.0
911,61087,Margin of Error,48.0,3.2,162.0
912,61088,Estimate,328.0,5.2,6263.0
913,61088,Margin of Error,186.0,3.0,475.0
914,61089,Estimate,60.0,9.7,621.0
915,61089,Margin of Error,47.0,7.1,142.0
916,61091,Estimate,0.0,0.0,67.0
917,61091,Margin of Error,12.0,36.0,71.0
918,61101,Estimate,5769.0,30.4,18969.0
919,61101,Margin of Error,1175.0,5.2,1529.0
920,61102,Estimate,4482.0,27.0,16603.0
921,61102,Margin of Error,613.0,3.3,1068.0
922,61103,Estimate,4756.0,20.6,23142.0
923,61103,Margin of Error,734.0,3.1,1053.0
924,61104,Estimate,7277.0,38.6,18834.0
925,61104,Margin of Error,1022.0,5.1,918.0
926,61107,Estimate,2966.0,9.9,29904.0
927,61107,Margin of Error,538.0,1.8,1504.0
928,61108,Estimate,3962.0,14.0,28269.0
929,61108,Margin of Error,1040.0,3.4,1808.0
930,61109,Estimate,4468.0,16.9,26414.0
931,61109,Margin of Error,1081.0,3.6,1201.0
932,61111,Estimate,3375.0,15.0,22521.0
933,61111,Margin of Error,803.0,3.6,478.0
934,61112,Estimate,0.0,0.0,60.0
935,61112,Margin of Error,12.0,38.3,43.0
936,61114,Estimate,963.0,6.6,14669.0
937,61114,Margin of Error,368.0,2.5,1058.0
938,61115,Estimate,2380.0,10.8,22137.0
939,61115,Margin of Error,617.0,2.8,232.0
940,61201,Estimate,7507.0,21.3,35234.0
941,61201,Margin of Error,946.0,2.7,683.0
942,61230,Estimate,41.0,4.5,907.0
943,61230,Margin of Error,33.0,3.6,191.0
944,61231,Estimate,486.0,9.6,5079.0
945,61231,Margin of Error,150.0,2.9,264.0
946,61232,Estimate,29.0,2.3,1249.0
947,61232,Margin of Error,24.0,1.9,221.0
948,61234,Estimate,65.0,5.8,1120.0
949,61234,Margin of Error,36.0,3.1,215.0
950,61235,Estimate,94.0,5.5,1706.0
951,61235,Margin of Error,51.0,3.0,330.0
952,61236,Estimate,7.0,9.7,72.0
953,61236,Margin of Error,12.0,14.7,33.0
954,61238,Estimate,148.0,5.1,2919.0
955,61238,Margin of Error,79.0,2.7,265.0
956,61239,Estimate,454.0,37.1,1225.0
957,61239,Margin of Error,235.0,14.6,280.0
958,61240,Estimate,140.0,2.4,5862.0
959,61240,Margin of Error,86.0,1.5,333.0
960,61241,Estimate,442.0,6.3,7072.0
961,61241,Margin of Error,273.0,3.9,433.0
962,61242,Estimate,24.0,2.0,1227.0
963,61242,Margin of Error,23.0,1.8,161.0
964,61243,Estimate,4.0,2.0,202.0
965,61243,Margin of Error,5.0,2.6,53.0
966,61244,Estimate,2822.0,13.1,21527.0
967,61244,Margin of Error,484.0,2.3,573.0
968,61250,Estimate,160.0,5.9,2716.0
969,61250,Margin of Error,87.0,3.3,404.0
970,61251,Estimate,6.0,1.5,402.0
971,61251,Margin of Error,9.0,2.2,176.0
972,61252,Estimate,331.0,6.4,5188.0
973,61252,Margin of Error,116.0,2.2,232.0
974,61254,Estimate,604.0,5.5,11082.0
975,61254,Margin of Error,281.0,2.5,434.0
976,61256,Estimate,139.0,6.8,2038.0
977,61256,Margin of Error,90.0,4.3,259.0
978,61257,Estimate,296.0,27.7,1067.0
979,61257,Margin of Error,275.0,20.4,348.0
980,61258,Estimate,70.0,41.9,167.0
981,61258,Margin of Error,73.0,27.7,92.0
982,61259,Estimate,32.0,2.5,1300.0
983,61259,Margin of Error,25.0,2.0,329.0
984,61260,Estimate,254.0,34.0,748.0
985,61260,Margin of Error,130.0,13.4,153.0
986,61261,Estimate,88.0,11.7,750.0
987,61261,Margin of Error,56.0,6.9,203.0
988,61262,Estimate,13.0,1.3,1007.0
989,61262,Margin of Error,16.0,1.6,229.0
990,61263,Estimate,74.0,10.1,735.0
991,61263,Margin of Error,57.0,7.4,159.0
992,61264,Estimate,927.0,8.9,10407.0
993,61264,Margin of Error,291.0,2.8,417.0
994,61265,Estimate,5838.0,13.8,42380.0
995,61265,Margin of Error,1171.0,2.8,541.0
996,61270,Estimate,517.0,8.1,6356.0
997,61270,Margin of Error,217.0,3.5,345.0
998,61272,Estimate,106.0,8.6,1227.0
999,61272,Margin of Error,51.0,4.3,261.0
1000,61273,Estimate,55.0,1.8,3134.0
1001,61273,Margin of Error,37.0,1.2,121.0
1002,61274,Estimate,14.0,5.4,257.0
1003,61274,Margin of Error,14.0,6.0,81.0
1004,61275,Estimate,209.0,4.3,4839.0
1005,61275,Margin of Error,110.0,2.2,426.0
1006,61276,Estimate,8.0,12.1,66.0
1007,61276,Margin of Error,13.0,20.8,59.0
1008,61277,Estimate,188.0,6.1,3093.0
1009,61277,Margin of Error,76.0,2.6,352.0
1010,61278,Estimate,87.0,21.2,411.0
1011,61278,Margin of Error,94.0,20.2,118.0
1012,61279,Estimate,30.0,2.9,1020.0
1013,61279,Margin of Error,35.0,3.4,202.0
1014,61281,Estimate,114.0,4.6,2455.0
1015,61281,Margin of Error,82.0,3.4,323.0
1016,61282,Estimate,1239.0,16.1,7693.0
1017,61282,Margin of Error,355.0,4.6,89.0
1018,61283,Estimate,266.0,16.0,1661.0
1019,61283,Margin of Error,213.0,10.9,388.0
1020,61284,Estimate,24.0,1.4,1660.0
1021,61284,Margin of Error,23.0,1.4,274.0
1022,61285,Estimate,64.0,4.5,1438.0
1023,61285,Margin of Error,41.0,2.9,179.0
1024,61301,Estimate,1493.0,15.7,9530.0
1025,61301,Margin of Error,286.0,3.0,228.0
1026,61310,Estimate,374.0,10.1,3715.0
1027,61310,Margin of Error,147.0,3.9,242.0
1028,61311,Estimate,0.0,0.0,357.0
1029,61311,Margin of Error,12.0,8.7,171.0
1030,61312,Estimate,51.0,11.0,464.0
1031,61312,Margin of Error,43.0,8.3,90.0
1032,61313,Estimate,10.0,4.2,236.0
1033,61313,Margin of Error,12.0,4.7,108.0
1034,61314,Estimate,78.0,9.0,871.0
1035,61314,Margin of Error,39.0,4.4,145.0
1036,61315,Estimate,13.0,6.0,216.0
1037,61315,Margin of Error,11.0,5.2,66.0
1038,61316,Estimate,31.0,14.4,215.0
1039,61316,Margin of Error,20.0,9.5,58.0
1040,61317,Estimate,18.0,3.8,477.0
1041,61317,Margin of Error,23.0,4.8,108.0
1042,61318,Estimate,103.0,15.6,659.0
1043,61318,Margin of Error,55.0,8.2,129.0
1044,61319,Estimate,180.0,14.3,1261.0
1045,61319,Margin of Error,75.0,5.5,166.0
1046,61320,Estimate,30.0,4.9,618.0
1047,61320,Margin of Error,19.0,2.9,104.0
1048,61321,Estimate,7.0,2.3,304.0
1049,61321,Margin of Error,8.0,2.9,115.0
1050,61322,Estimate,189.0,12.7,1493.0
1051,61322,Margin of Error,120.0,7.8,184.0
1052,61323,Estimate,16.0,15.7,102.0
1053,61323,Margin of Error,17.0,17.2,61.0
1054,61324,Estimate,0.0,0.0,101.0
1055,61324,Margin of Error,12.0,26.9,65.0
1056,61325,Estimate,34.0,3.1,1085.0
1057,61325,Margin of Error,17.0,1.8,174.0
1058,61326,Estimate,253.0,11.7,2158.0
1059,61326,Margin of Error,94.0,4.1,139.0
1060,61327,Estimate,78.0,5.4,1452.0
1061,61327,Margin of Error,38.0,2.7,149.0
1062,61328,Estimate,0.0,0.0,70.0
1063,61328,Margin of Error,12.0,35.1,79.0
1064,61329,Estimate,115.0,9.3,1242.0
1065,61329,Margin of Error,61.0,5.2,150.0
1066,61330,Estimate,52.0,4.0,1295.0
1067,61330,Margin of Error,26.0,2.0,190.0
1068,61331,Estimate,0.0,,0.0
1069,61331,Margin of Error,12.0,,12.0
1070,61332,Estimate,15.0,10.5,143.0
1071,61332,Margin of Error,24.0,15.4,61.0
1072,61333,Estimate,48.0,15.4,311.0
1073,61333,Margin of Error,29.0,8.6,72.0
1074,61334,Estimate,57.0,8.4,676.0
1075,61334,Margin of Error,38.0,5.4,121.0
1076,61335,Estimate,12.0,3.8,316.0
1077,61335,Margin of Error,11.0,3.5,78.0
1078,61336,Estimate,44.0,9.8,449.0
1079,61336,Margin of Error,27.0,5.5,101.0
1080,61337,Estimate,119.0,22.3,534.0
1081,61337,Margin of Error,74.0,12.3,108.0
1082,61338,Estimate,22.0,10.9,201.0
1083,61338,Margin of Error,14.0,6.0,45.0
1084,61340,Estimate,26.0,7.0,373.0
1085,61340,Margin of Error,29.0,7.6,82.0
1086,61341,Estimate,1138.0,15.2,7510.0
1087,61341,Margin of Error,404.0,5.3,342.0
1088,61342,Estimate,836.0,10.0,8319.0
1089,61342,Margin of Error,289.0,3.5,324.0
1090,61344,Estimate,27.0,6.1,445.0
1091,61344,Margin of Error,21.0,4.6,149.0
1092,61345,Estimate,85.0,11.7,729.0
1093,61345,Margin of Error,49.0,6.8,118.0
1094,61346,Estimate,15.0,26.3,57.0
1095,61346,Margin of Error,11.0,16.6,19.0
1096,61348,Estimate,344.0,7.9,4351.0
1097,61348,Margin of Error,144.0,3.3,128.0
1098,61349,Estimate,78.0,7.4,1061.0
1099,61349,Margin of Error,38.0,3.1,214.0
1100,61350,Estimate,3335.0,14.3,23249.0
1101,61350,Margin of Error,753.0,3.2,626.0
1102,61353,Estimate,92.0,6.9,1341.0
1103,61353,Margin of Error,33.0,2.6,252.0
1104,61354,Estimate,1071.0,10.6,10114.0
1105,61354,Margin of Error,369.0,3.7,159.0
1106,61356,Estimate,1241.0,12.1,10250.0
1107,61356,Margin of Error,311.0,3.1,263.0
1108,61358,Estimate,70.0,22.7,308.0
1109,61358,Margin of Error,59.0,15.5,91.0
1110,61359,Estimate,60.0,16.3,369.0
1111,61359,Margin of Error,48.0,12.3,88.0
1112,61360,Estimate,515.0,15.6,3292.0
1113,61360,Margin of Error,230.0,6.7,303.0
1114,61361,Estimate,106.0,9.3,1145.0
1115,61361,Margin of Error,36.0,3.2,166.0
1116,61362,Estimate,739.0,13.8,5363.0
1117,61362,Margin of Error,226.0,4.1,135.0
1118,61363,Estimate,28.0,10.0,281.0
1119,61363,Margin of Error,17.0,5.8,70.0
1120,61364,Estimate,3781.0,20.7,18251.0
1121,61364,Margin of Error,569.0,3.1,452.0
1122,61367,Estimate,43.0,5.7,751.0
1123,61367,Margin of Error,17.0,2.5,124.0
1124,61368,Estimate,159.0,11.9,1334.0
1125,61368,Margin of Error,47.0,3.6,195.0
1126,61369,Estimate,150.0,10.2,1477.0
1127,61369,Margin of Error,52.0,3.5,165.0
1128,61370,Estimate,126.0,9.3,1351.0
1129,61370,Margin of Error,59.0,4.1,166.0
1130,61372,Estimate,10.0,6.4,156.0
1131,61372,Margin of Error,10.0,7.1,96.0
1132,61373,Estimate,42.0,2.0,2100.0
1133,61373,Margin of Error,28.0,1.4,386.0
1134,61374,Estimate,3.0,2.6,115.0
1135,61374,Margin of Error,4.0,4.4,65.0
1136,61375,Estimate,57.0,5.6,1026.0
1137,61375,Margin of Error,38.0,3.7,134.0
1138,61376,Estimate,288.0,15.4,1872.0
1139,61376,Margin of Error,172.0,8.3,233.0
1140,61377,Estimate,217.0,14.2,1531.0
1141,61377,Margin of Error,73.0,4.6,195.0
1142,61378,Estimate,34.0,11.1,307.0
1143,61378,Margin of Error,34.0,11.2,96.0
1144,61379,Estimate,247.0,17.2,1436.0
1145,61379,Margin of Error,118.0,7.7,199.0
1146,61401,Estimate,5505.0,19.1,28897.0
1147,61401,Margin of Error,588.0,2.0,556.0
1148,61410,Estimate,687.0,18.1,3800.0
1149,61410,Margin of Error,256.0,6.3,427.0
1150,61411,Estimate,0.0,0.0,367.0
1151,61411,Margin of Error,12.0,8.5,98.0
1152,61412,Estimate,89.0,6.5,1371.0
1153,61412,Margin of Error,47.0,3.5,222.0
1154,61413,Estimate,78.0,8.5,923.0
1155,61413,Margin of Error,69.0,7.4,161.0
1156,61414,Estimate,118.0,13.8,852.0
1157,61414,Margin of Error,72.0,8.2,176.0
1158,61415,Estimate,239.0,11.7,2035.0
1159,61415,Margin of Error,156.0,7.1,282.0
1160,61416,Estimate,115.0,42.8,269.0
1161,61416,Margin of Error,69.0,18.6,97.0
1162,61417,Estimate,66.0,21.2,312.0
1163,61417,Margin of Error,52.0,13.9,97.0
1164,61418,Estimate,47.0,7.3,645.0
