,Zipcode,Stats,EDUCATIONAL ATTAINMENT,Below poverty level,Percent below poverty level,Total
693,60107,Estimate,Population 25 years and over,1919.0,7.0,27461.0
694,60107,Estimate,"Some college, associate's degree",813.0,9.9,8226.0
695,60107,Margin of Error,Bachelor's degree or higher,103.0,1.4,674.0
696,60107,Margin of Error,High school graduate (includes equivalency),263.0,3.1,787.0
697,60107,Margin of Error,Less than high school graduate,93.0,3.0,490.0
698,60107,Margin of Error,Population 25 years and over,448.0,1.6,575.0
699,60107,Margin of Error,"Some college, associate's degree",439.0,5.1,772.0
700,60108,Estimate,Bachelor's degree or higher,264.0,4.1,6470.0
701,60108,Estimate,High school graduate (includes equivalency),346.0,8.8,3930.0
702,60108,Estimate,Less than high school graduate,116.0,11.3,1025.0
703,60108,Estimate,Population 25 years and over,913.0,5.7,15936.0
704,60108,Estimate,"Some college, associate's degree",187.0,4.1,4511.0
705,60108,Margin of Error,Bachelor's degree or higher,189.0,2.9,470.0
706,60108,Margin of Error,High school graduate (includes equivalency),116.0,2.8,398.0
707,60108,Margin of Error,Less than high school graduate,87.0,7.7,255.0
708,60108,Margin of Error,Population 25 years and over,255.0,1.6,617.0
709,60108,Margin of Error,"Some college, associate's degree",90.0,1.9,533.0
710,60109,Estimate,Bachelor's degree or higher,0.0,0.0,89.0
711,60109,Estimate,High school graduate (includes equivalency),4.0,5.3,75.0
712,60109,Estimate,Less than high school graduate,0.0,0.0,26.0
713,60109,Estimate,Population 25 years and over,15.0,4.8,312.0
714,60109,Estimate,"Some college, associate's degree",11.0,9.0,122.0
715,60109,Margin of Error,Bachelor's degree or higher,12.0,29.7,50.0
716,60109,Margin of Error,High school graduate (includes equivalency),8.0,9.2,33.0
717,60109,Margin of Error,Less than high school graduate,12.0,58.2,21.0
718,60109,Margin of Error,Population 25 years and over,17.0,5.2,91.0
719,60109,Margin of Error,"Some college, associate's degree",11.0,9.7,46.0
720,60110,Estimate,Bachelor's degree or higher,94.0,2.0,4618.0
721,60110,Estimate,High school graduate (includes equivalency),706.0,11.3,6265.0
722,60110,Estimate,Less than high school graduate,644.0,10.8,5982.0
723,60110,Estimate,Population 25 years and over,1825.0,8.0,22830.0
724,60110,Estimate,"Some college, associate's degree",381.0,6.4,5965.0
725,60110,Margin of Error,Bachelor's degree or higher,70.0,1.5,565.0
726,60110,Margin of Error,High school graduate (includes equivalency),224.0,3.7,679.0
727,60110,Margin of Error,Less than high school graduate,206.0,3.6,645.0
728,60110,Margin of Error,Population 25 years and over,308.0,1.4,693.0
729,60110,Margin of Error,"Some college, associate's degree",154.0,2.5,649.0
730,60111,Estimate,Bachelor's degree or higher,0.0,0.0,33.0
731,60111,Estimate,High school graduate (includes equivalency),0.0,0.0,25.0
732,60111,Estimate,Less than high school graduate,0.0,0.0,27.0
733,60111,Estimate,Population 25 years and over,0.0,0.0,117.0
734,60111,Estimate,"Some college, associate's degree",0.0,0.0,32.0
735,60111,Margin of Error,Bachelor's degree or higher,12.0,51.6,31.0
736,60111,Margin of Error,High school graduate (includes equivalency),12.0,59.3,24.0
737,60111,Margin of Error,Less than high school graduate,12.0,57.1,27.0
738,60111,Margin of Error,Population 25 years and over,12.0,23.9,58.0
739,60111,Margin of Error,"Some college, associate's degree",12.0,52.4,33.0
740,60112,Estimate,Bachelor's degree or higher,28.0,2.9,977.0
741,60112,Estimate,High school graduate (includes equivalency),57.0,8.0,710.0
742,60112,Estimate,Less than high school graduate,61.0,29.2,209.0
743,60112,Estimate,Population 25 years and over,220.0,7.6,2887.0
744,60112,Estimate,"Some college, associate's degree",74.0,7.5,991.0
745,60112,Margin of Error,Bachelor's degree or higher,33.0,3.2,246.0
746,60112,Margin of Error,High school graduate (includes equivalency),52.0,7.4,213.0
747,60112,Margin of Error,Less than high school graduate,75.0,29.3,112.0
748,60112,Margin of Error,Population 25 years and over,114.0,3.9,331.0
749,60112,Margin of Error,"Some college, associate's degree",63.0,6.3,232.0
750,60113,Estimate,Bachelor's degree or higher,0.0,0.0,26.0
751,60113,Estimate,High school graduate (includes equivalency),5.0,8.8,57.0
752,60113,Estimate,Less than high school graduate,0.0,0.0,41.0
753,60113,Estimate,Population 25 years and over,7.0,3.3,215.0
754,60113,Estimate,"Some college, associate's degree",2.0,2.2,91.0
755,60113,Margin of Error,Bachelor's degree or higher,12.0,58.2,17.0
756,60113,Margin of Error,High school graduate (includes equivalency),8.0,13.3,30.0
757,60113,Margin of Error,Less than high school graduate,12.0,46.3,36.0
758,60113,Margin of Error,Population 25 years and over,9.0,4.1,70.0
759,60113,Margin of Error,"Some college, associate's degree",4.0,4.7,41.0
760,60115,Estimate,Bachelor's degree or higher,742.0,8.5,8780.0
761,60115,Estimate,High school graduate (includes equivalency),982.0,19.3,5081.0
762,60115,Estimate,Less than high school graduate,221.0,11.9,1862.0
763,60115,Estimate,Population 25 years and over,3069.0,13.5,22671.0
764,60115,Estimate,"Some college, associate's degree",1124.0,16.2,6948.0
765,60115,Margin of Error,Bachelor's degree or higher,229.0,2.5,712.0
766,60115,Margin of Error,High school graduate (includes equivalency),312.0,5.6,666.0
767,60115,Margin of Error,Less than high school graduate,125.0,6.7,334.0
768,60115,Margin of Error,Population 25 years and over,465.0,2.1,608.0
769,60115,Margin of Error,"Some college, associate's degree",273.0,3.6,573.0
770,60118,Estimate,Bachelor's degree or higher,92.0,1.8,5004.0
771,60118,Estimate,High school graduate (includes equivalency),93.0,3.7,2523.0
772,60118,Estimate,Less than high school graduate,72.0,13.5,534.0
773,60118,Estimate,Population 25 years and over,510.0,4.3,11750.0
774,60118,Estimate,"Some college, associate's degree",253.0,6.9,3689.0
775,60118,Margin of Error,Bachelor's degree or higher,58.0,1.1,424.0
776,60118,Margin of Error,High school graduate (includes equivalency),80.0,3.3,458.0
777,60118,Margin of Error,Less than high school graduate,56.0,10.0,148.0
778,60118,Margin of Error,Population 25 years and over,128.0,1.1,486.0
779,60118,Margin of Error,"Some college, associate's degree",96.0,2.5,384.0
780,60119,Estimate,Bachelor's degree or higher,121.0,3.6,3321.0
781,60119,Estimate,High school graduate (includes equivalency),16.0,1.3,1255.0
782,60119,Estimate,Less than high school graduate,14.0,7.9,178.0
783,60119,Estimate,Population 25 years and over,293.0,4.1,7156.0
784,60119,Estimate,"Some college, associate's degree",142.0,5.9,2402.0
785,60119,Margin of Error,Bachelor's degree or higher,85.0,2.7,793.0
786,60119,Margin of Error,High school graduate (includes equivalency),23.0,1.8,286.0
787,60119,Margin of Error,Less than high school graduate,22.0,11.8,98.0
788,60119,Margin of Error,Population 25 years and over,146.0,2.2,795.0
789,60119,Margin of Error,"Some college, associate's degree",118.0,4.7,402.0
790,60120,Estimate,Bachelor's degree or higher,417.0,7.6,5512.0
791,60120,Estimate,High school graduate (includes equivalency),937.0,11.2,8377.0
792,60120,Estimate,Less than high school graduate,1213.0,14.8,8179.0
793,60120,Estimate,Population 25 years and over,3172.0,10.3,30783.0
794,60120,Estimate,"Some college, associate's degree",605.0,6.9,8715.0
795,60120,Margin of Error,Bachelor's degree or higher,224.0,3.7,678.0
796,60120,Margin of Error,High school graduate (includes equivalency),260.0,2.9,750.0
797,60120,Margin of Error,Less than high school graduate,323.0,3.7,985.0
798,60120,Margin of Error,Population 25 years and over,511.0,1.5,1269.0
799,60120,Margin of Error,"Some college, associate's degree",171.0,1.9,821.0
800,60123,Estimate,Bachelor's degree or higher,255.0,3.2,7972.0
801,60123,Estimate,High school graduate (includes equivalency),845.0,11.1,7630.0
802,60123,Estimate,Less than high school graduate,768.0,13.3,5775.0
803,60123,Estimate,Population 25 years and over,2703.0,8.4,32066.0
804,60123,Estimate,"Some college, associate's degree",835.0,7.8,10689.0
805,60123,Margin of Error,Bachelor's degree or higher,128.0,1.5,943.0
806,60123,Margin of Error,High school graduate (includes equivalency),270.0,3.5,745.0
807,60123,Margin of Error,Less than high school graduate,263.0,4.5,711.0
808,60123,Margin of Error,Population 25 years and over,452.0,1.4,1331.0
809,60123,Margin of Error,"Some college, associate's degree",237.0,2.2,1057.0
810,60124,Estimate,Bachelor's degree or higher,67.0,1.0,7026.0
811,60124,Estimate,High school graduate (includes equivalency),141.0,3.8,3725.0
812,60124,Estimate,Less than high school graduate,0.0,0.0,553.0
813,60124,Estimate,Population 25 years and over,314.0,2.0,15766.0
814,60124,Estimate,"Some college, associate's degree",106.0,2.4,4462.0
815,60124,Margin of Error,Bachelor's degree or higher,75.0,1.1,941.0
816,60124,Margin of Error,High school graduate (includes equivalency),116.0,3.3,746.0
817,60124,Margin of Error,Less than high school graduate,22.0,5.7,231.0
818,60124,Margin of Error,Population 25 years and over,192.0,1.3,1201.0
819,60124,Margin of Error,"Some college, associate's degree",106.0,2.4,684.0
820,60126,Estimate,Bachelor's degree or higher,339.0,1.7,19494.0
821,60126,Estimate,High school graduate (includes equivalency),340.0,8.1,4208.0
822,60126,Estimate,Less than high school graduate,120.0,11.5,1041.0
823,60126,Estimate,Population 25 years and over,1123.0,3.5,32080.0
824,60126,Estimate,"Some college, associate's degree",324.0,4.4,7337.0
825,60126,Margin of Error,Bachelor's degree or higher,109.0,0.6,674.0
826,60126,Margin of Error,High school graduate (includes equivalency),119.0,2.7,391.0
827,60126,Margin of Error,Less than high school graduate,70.0,6.3,244.0
828,60126,Margin of Error,Population 25 years and over,224.0,0.7,585.0
829,60126,Margin of Error,"Some college, associate's degree",122.0,1.7,643.0
830,60129,Estimate,Bachelor's degree or higher,0.0,0.0,25.0
831,60129,Estimate,High school graduate (includes equivalency),11.0,40.7,27.0
832,60129,Estimate,Less than high school graduate,2.0,33.3,6.0
833,60129,Estimate,Population 25 years and over,13.0,7.8,167.0
834,60129,Estimate,"Some college, associate's degree",0.0,0.0,109.0
835,60129,Margin of Error,Bachelor's degree or higher,12.0,59.3,15.0
836,60129,Margin of Error,High school graduate (includes equivalency),19.0,48.0,21.0
837,60129,Margin of Error,Less than high school graduate,4.0,52.6,5.0
838,60129,Margin of Error,Population 25 years and over,19.0,11.4,74.0
839,60129,Margin of Error,"Some college, associate's degree",12.0,25.3,69.0
840,60130,Estimate,Bachelor's degree or higher,350.0,6.3,5560.0
841,60130,Estimate,High school graduate (includes equivalency),166.0,9.7,1711.0
842,60130,Estimate,Less than high school graduate,149.0,39.0,382.0
843,60130,Estimate,Population 25 years and over,963.0,9.1,10604.0
844,60130,Estimate,"Some college, associate's degree",298.0,10.1,2951.0
845,60130,Margin of Error,Bachelor's degree or higher,150.0,2.6,480.0
846,60130,Margin of Error,High school graduate (includes equivalency),79.0,4.4,336.0
847,60130,Margin of Error,Less than high school graduate,104.0,19.9,160.0
848,60130,Margin of Error,Population 25 years and over,287.0,2.6,467.0
849,60130,Margin of Error,"Some college, associate's degree",179.0,5.7,504.0
850,60131,Estimate,Bachelor's degree or higher,202.0,9.3,2168.0
851,60131,Estimate,High school graduate (includes equivalency),365.0,9.7,3746.0
852,60131,Estimate,Less than high school graduate,342.0,12.7,2683.0
853,60131,Estimate,Population 25 years and over,1259.0,10.4,12096.0
854,60131,Estimate,"Some college, associate's degree",350.0,10.0,3499.0
855,60131,Margin of Error,Bachelor's degree or higher,110.0,5.1,398.0
856,60131,Margin of Error,High school graduate (includes equivalency),237.0,5.9,445.0
857,60131,Margin of Error,Less than high school graduate,208.0,8.1,633.0
858,60131,Margin of Error,Population 25 years and over,466.0,3.8,402.0
859,60131,Margin of Error,"Some college, associate's degree",218.0,5.7,504.0
860,60133,Estimate,Bachelor's degree or higher,423.0,6.4,6615.0
861,60133,Estimate,High school graduate (includes equivalency),783.0,12.7,6171.0
862,60133,Estimate,Less than high school graduate,803.0,19.1,4200.0
863,60133,Estimate,Population 25 years and over,2524.0,10.5,23933.0
864,60133,Estimate,"Some college, associate's degree",515.0,7.4,6947.0
865,60133,Margin of Error,Bachelor's degree or higher,228.0,3.4,615.0
866,60133,Margin of Error,High school graduate (includes equivalency),363.0,5.4,606.0
867,60133,Margin of Error,Less than high school graduate,301.0,6.7,464.0
868,60133,Margin of Error,Population 25 years and over,538.0,2.3,681.0
869,60133,Margin of Error,"Some college, associate's degree",175.0,2.4,531.0
870,60134,Estimate,Bachelor's degree or higher,190.0,1.5,12411.0
871,60134,Estimate,High school graduate (includes equivalency),147.0,6.1,2423.0
872,60134,Estimate,Less than high school graduate,80.0,18.5,432.0
873,60134,Estimate,Population 25 years and over,587.0,3.1,18917.0
874,60134,Estimate,"Some college, associate's degree",170.0,4.7,3651.0
875,60134,Margin of Error,Bachelor's degree or higher,132.0,1.1,675.0
876,60134,Margin of Error,High school graduate (includes equivalency),92.0,3.7,481.0
877,60134,Margin of Error,Less than high school graduate,86.0,19.8,235.0
878,60134,Margin of Error,Population 25 years and over,206.0,1.1,480.0
879,60134,Margin of Error,"Some college, associate's degree",87.0,2.4,429.0
880,60135,Estimate,Bachelor's degree or higher,16.0,1.8,884.0
881,60135,Estimate,High school graduate (includes equivalency),69.0,4.7,1468.0
882,60135,Estimate,Less than high school graduate,179.0,28.8,621.0
883,60135,Estimate,Population 25 years and over,328.0,6.9,4741.0
884,60135,Estimate,"Some college, associate's degree",64.0,3.6,1768.0
885,60135,Margin of Error,Bachelor's degree or higher,25.0,2.9,230.0
886,60135,Margin of Error,High school graduate (includes equivalency),87.0,5.8,298.0
887,60135,Margin of Error,Less than high school graduate,120.0,16.0,220.0
888,60135,Margin of Error,Population 25 years and over,188.0,4.0,398.0
889,60135,Margin of Error,"Some college, associate's degree",67.0,3.7,329.0
890,60136,Estimate,Bachelor's degree or higher,24.0,1.1,2124.0
891,60136,Estimate,High school graduate (includes equivalency),118.0,10.5,1123.0
892,60136,Estimate,Less than high school graduate,0.0,0.0,221.0
893,60136,Estimate,Population 25 years and over,142.0,2.6,5402.0
894,60136,Estimate,"Some college, associate's degree",0.0,0.0,1934.0
895,60136,Margin of Error,Bachelor's degree or higher,44.0,2.1,579.0
896,60136,Margin of Error,High school graduate (includes equivalency),195.0,17.4,589.0
897,60136,Margin of Error,Less than high school graduate,17.0,13.6,188.0
898,60136,Margin of Error,Population 25 years and over,201.0,3.7,492.0
899,60136,Margin of Error,"Some college, associate's degree",17.0,1.7,584.0
900,60137,Estimate,Bachelor's degree or higher,243.0,1.5,16164.0
901,60137,Estimate,High school graduate (includes equivalency),156.0,4.7,3306.0
902,60137,Estimate,Less than high school graduate,213.0,25.9,823.0
903,60137,Estimate,Population 25 years and over,819.0,3.2,25428.0
904,60137,Estimate,"Some college, associate's degree",207.0,4.0,5135.0
905,60137,Margin of Error,Bachelor's degree or higher,117.0,0.7,663.0
906,60137,Margin of Error,High school graduate (includes equivalency),78.0,2.4,453.0
907,60137,Margin of Error,Less than high school graduate,93.0,10.7,256.0
908,60137,Margin of Error,Population 25 years and over,209.0,0.8,784.0
909,60137,Margin of Error,"Some college, associate's degree",87.0,1.7,500.0
910,60139,Estimate,Bachelor's degree or higher,363.0,5.6,6447.0
911,60139,Estimate,High school graduate (includes equivalency),359.0,6.2,5757.0
912,60139,Estimate,Less than high school graduate,405.0,10.2,3973.0
913,60139,Estimate,Population 25 years and over,1532.0,6.7,22767.0
914,60139,Estimate,"Some college, associate's degree",405.0,6.1,6590.0
915,60139,Margin of Error,Bachelor's degree or higher,148.0,2.2,638.0
916,60139,Margin of Error,High school graduate (includes equivalency),138.0,2.5,549.0
917,60139,Margin of Error,Less than high school graduate,162.0,4.0,495.0
918,60139,Margin of Error,Population 25 years and over,304.0,1.3,571.0
919,60139,Margin of Error,"Some college, associate's degree",140.0,2.0,631.0
920,60140,Estimate,Bachelor's degree or higher,381.0,7.5,5098.0
921,60140,Estimate,High school graduate (includes equivalency),310.0,10.4,2969.0
922,60140,Estimate,Less than high school graduate,127.0,15.5,818.0
923,60140,Estimate,Population 25 years and over,1028.0,8.2,12518.0
924,60140,Estimate,"Some college, associate's degree",210.0,5.8,3633.0
925,60140,Margin of Error,Bachelor's degree or higher,303.0,5.8,988.0
926,60140,Margin of Error,High school graduate (includes equivalency),290.0,8.8,727.0
927,60140,Margin of Error,Less than high school graduate,176.0,17.3,444.0
928,60140,Margin of Error,Population 25 years and over,461.0,3.6,813.0
929,60140,Margin of Error,"Some college, associate's degree",167.0,4.7,698.0
930,60141,Estimate,Bachelor's degree or higher,8.0,6.6,121.0
931,60141,Estimate,High school graduate (includes equivalency),35.0,55.6,63.0
932,60141,Estimate,Less than high school graduate,8.0,24.2,33.0
933,60141,Estimate,Population 25 years and over,66.0,28.4,232.0
934,60141,Estimate,"Some college, associate's degree",15.0,100.0,15.0
935,60141,Margin of Error,Bachelor's degree or higher,17.0,14.2,110.0
936,60141,Margin of Error,High school graduate (includes equivalency),42.0,53.8,58.0
937,60141,Margin of Error,Less than high school graduate,18.0,64.3,42.0
938,60141,Margin of Error,Population 25 years and over,61.0,25.4,136.0
939,60141,Margin of Error,"Some college, associate's degree",34.0,76.6,34.0
940,60142,Estimate,Bachelor's degree or higher,504.0,6.1,8225.0
941,60142,Estimate,High school graduate (includes equivalency),703.0,12.2,5754.0
942,60142,Estimate,Less than high school graduate,35.0,4.2,835.0
943,60142,Estimate,Population 25 years and over,1495.0,6.9,21752.0
944,60142,Estimate,"Some college, associate's degree",253.0,3.6,6938.0
945,60142,Margin of Error,Bachelor's degree or higher,454.0,5.3,874.0
946,60142,Margin of Error,High school graduate (includes equivalency),438.0,6.8,935.0
947,60142,Margin of Error,Less than high school graduate,112.0,13.2,285.0
948,60142,Margin of Error,Population 25 years and over,627.0,2.9,774.0
949,60142,Margin of Error,"Some college, associate's degree",154.0,2.3,855.0
950,60143,Estimate,Bachelor's degree or higher,12.0,0.3,3737.0
951,60143,Estimate,High school graduate (includes equivalency),152.0,6.6,2309.0
952,60143,Estimate,Less than high school graduate,3.0,1.0,287.0
953,60143,Estimate,Population 25 years and over,254.0,2.9,8715.0
954,60143,Estimate,"Some college, associate's degree",87.0,3.7,2382.0
955,60143,Margin of Error,Bachelor's degree or higher,15.0,0.4,534.0
956,60143,Margin of Error,High school graduate (includes equivalency),128.0,4.9,455.0
957,60143,Margin of Error,Less than high school graduate,6.0,2.6,134.0
958,60143,Margin of Error,Population 25 years and over,143.0,1.6,392.0
959,60143,Margin of Error,"Some college, associate's degree",62.0,2.5,434.0
960,60144,Estimate,Bachelor's degree or higher,0.0,0.0,10.0
961,60144,Estimate,High school graduate (includes equivalency),0.0,0.0,30.0
962,60144,Estimate,Less than high school graduate,0.0,0.0,9.0
963,60144,Estimate,Population 25 years and over,0.0,0.0,54.0
964,60144,Estimate,"Some college, associate's degree",0.0,0.0,5.0
965,60144,Margin of Error,Bachelor's degree or higher,12.0,93.8,14.0
966,60144,Margin of Error,High school graduate (includes equivalency),12.0,54.1,22.0
967,60144,Margin of Error,Less than high school graduate,12.0,98.9,14.0
968,60144,Margin of Error,Population 25 years and over,12.0,40.4,32.0
969,60144,Margin of Error,"Some college, associate's degree",12.0,100.0,4.0
970,60145,Estimate,Bachelor's degree or higher,2.0,0.7,279.0
971,60145,Estimate,High school graduate (includes equivalency),82.0,13.2,622.0
972,60145,Estimate,Less than high school graduate,0.0,0.0,304.0
973,60145,Estimate,Population 25 years and over,238.0,11.8,2009.0
974,60145,Estimate,"Some college, associate's degree",154.0,19.2,804.0
975,60145,Margin of Error,Bachelor's degree or higher,5.0,2.0,123.0
976,60145,Margin of Error,High school graduate (includes equivalency),71.0,10.1,159.0
977,60145,Margin of Error,Less than high school graduate,12.0,10.1,187.0
978,60145,Margin of Error,Population 25 years and over,192.0,8.7,343.0
979,60145,Margin of Error,"Some college, associate's degree",138.0,14.5,206.0
980,60146,Estimate,Bachelor's degree or higher,0.0,0.0,303.0
981,60146,Estimate,High school graduate (includes equivalency),50.0,10.9,459.0
982,60146,Estimate,Less than high school graduate,15.0,13.6,110.0
983,60146,Estimate,Population 25 years and over,91.0,5.8,1560.0
984,60146,Estimate,"Some college, associate's degree",26.0,3.8,688.0
985,60146,Margin of Error,Bachelor's degree or higher,12.0,10.2,91.0
986,60146,Margin of Error,High school graduate (includes equivalency),29.0,6.1,108.0
987,60146,Margin of Error,Less than high school graduate,14.0,11.4,51.0
988,60146,Margin of Error,Population 25 years and over,38.0,2.4,246.0
989,60146,Margin of Error,"Some college, associate's degree",18.0,2.6,182.0
990,60148,Estimate,Bachelor's degree or higher,845.0,4.9,17084.0
991,60148,Estimate,High school graduate (includes equivalency),423.0,5.5,7727.0
992,60148,Estimate,Less than high school graduate,89.0,6.2,1428.0
993,60148,Estimate,Population 25 years and over,1686.0,4.7,36097.0
994,60148,Estimate,"Some college, associate's degree",329.0,3.3,9858.0
995,60148,Margin of Error,Bachelor's degree or higher,258.0,1.5,950.0
996,60148,Margin of Error,High school graduate (includes equivalency),152.0,2.0,565.0
997,60148,Margin of Error,Less than high school graduate,74.0,5.0,283.0
998,60148,Margin of Error,Population 25 years and over,327.0,0.9,922.0
999,60148,Margin of Error,"Some college, associate's degree",112.0,1.1,737.0
1000,60150,Estimate,Bachelor's degree or higher,12.0,3.0,404.0
1001,60150,Estimate,High school graduate (includes equivalency),50.0,18.6,269.0
1002,60150,Estimate,Less than high school graduate,32.0,21.1,152.0
1003,60150,Estimate,Population 25 years and over,152.0,11.3,1349.0
1004,60150,Estimate,"Some college, associate's degree",58.0,11.1,524.0
1005,60150,Margin of Error,Bachelor's degree or higher,14.0,3.5,114.0
1006,60150,Margin of Error,High school graduate (includes equivalency),46.0,14.5,71.0
1007,60150,Margin of Error,Less than high school graduate,43.0,25.4,80.0
1008,60150,Margin of Error,Population 25 years and over,95.0,6.6,195.0
1009,60150,Margin of Error,"Some college, associate's degree",37.0,7.0,117.0
1010,60151,Estimate,Bachelor's degree or higher,7.0,0.8,834.0
1011,60151,Estimate,High school graduate (includes equivalency),37.0,3.8,968.0
1012,60151,Estimate,Less than high school graduate,20.0,17.5,114.0
1013,60151,Estimate,Population 25 years and over,89.0,2.9,3042.0
1014,60151,Estimate,"Some college, associate's degree",25.0,2.2,1126.0
1015,60151,Margin of Error,Bachelor's degree or higher,8.0,0.9,202.0
1016,60151,Margin of Error,High school graduate (includes equivalency),25.0,2.6,166.0
1017,60151,Margin of Error,Less than high school graduate,25.0,19.7,48.0
1018,60151,Margin of Error,Population 25 years and over,47.0,1.5,295.0
1019,60151,Margin of Error,"Some college, associate's degree",19.0,1.7,163.0
1020,60152,Estimate,Bachelor's degree or higher,73.0,3.5,2115.0
1021,60152,Estimate,High school graduate (includes equivalency),326.0,11.7,2793.0
1022,60152,Estimate,Less than high school graduate,72.0,15.2,475.0
1023,60152,Estimate,Population 25 years and over,752.0,9.2,8213.0
1024,60152,Estimate,"Some college, associate's degree",281.0,9.9,2830.0
1025,60152,Margin of Error,Bachelor's degree or higher,79.0,3.7,364.0
1026,60152,Margin of Error,High school graduate (includes equivalency),123.0,4.4,428.0
1027,60152,Margin of Error,Less than high school graduate,67.0,13.5,166.0
1028,60152,Margin of Error,Population 25 years and over,233.0,2.8,514.0
1029,60152,Margin of Error,"Some college, associate's degree",180.0,6.0,360.0
1030,60153,Estimate,Bachelor's degree or higher,104.0,4.8,2158.0
1031,60153,Estimate,High school graduate (includes equivalency),658.0,12.0,5465.0
1032,60153,Estimate,Less than high school graduate,452.0,13.3,3403.0
1033,60153,Estimate,Population 25 years and over,1662.0,10.5,15858.0
1034,60153,Estimate,"Some college, associate's degree",448.0,9.3,4832.0
1035,60153,Margin of Error,Bachelor's degree or higher,52.0,2.6,361.0
1036,60153,Margin of Error,High school graduate (includes equivalency),228.0,4.2,549.0
1037,60153,Margin of Error,Less than high school graduate,183.0,5.2,437.0
1038,60153,Margin of Error,Population 25 years and over,361.0,2.3,613.0
1039,60153,Margin of Error,"Some college, associate's degree",169.0,3.5,494.0
1040,60154,Estimate,Bachelor's degree or higher,121.0,2.3,5308.0
1041,60154,Estimate,High school graduate (includes equivalency),109.0,4.0,2700.0
1042,60154,Estimate,Less than high school graduate,74.0,9.9,746.0
1043,60154,Estimate,Population 25 years and over,450.0,3.6,12620.0
1044,60154,Estimate,"Some college, associate's degree",146.0,3.8,3866.0
1045,60154,Margin of Error,Bachelor's degree or higher,80.0,1.5,484.0
1046,60154,Margin of Error,High school graduate (includes equivalency),73.0,2.9,338.0
1047,60154,Margin of Error,Less than high school graduate,39.0,5.7,158.0
1048,60154,Margin of Error,Population 25 years and over,149.0,1.2,369.0
1049,60154,Margin of Error,"Some college, associate's degree",86.0,2.3,417.0
1050,60155,Estimate,Bachelor's degree or higher,0.0,0.0,990.0
1051,60155,Estimate,High school graduate (includes equivalency),166.0,7.3,2268.0
1052,60155,Estimate,Less than high school graduate,91.0,18.5,491.0
1053,60155,Estimate,Population 25 years and over,368.0,6.4,5710.0
1054,60155,Estimate,"Some college, associate's degree",111.0,5.7,1961.0
1055,60155,Margin of Error,Bachelor's degree or higher,17.0,3.2,248.0
1056,60155,Margin of Error,High school graduate (includes equivalency),116.0,5.7,503.0
1057,60155,Margin of Error,Less than high school graduate,91.0,16.8,218.0
1058,60155,Margin of Error,Population 25 years and over,186.0,3.3,328.0
1059,60155,Margin of Error,"Some college, associate's degree",71.0,3.5,382.0
1060,60156,Estimate,Bachelor's degree or higher,268.0,3.9,6895.0
1061,60156,Estimate,High school graduate (includes equivalency),229.0,6.1,3773.0
1062,60156,Estimate,Less than high school graduate,40.0,5.3,756.0
1063,60156,Estimate,Population 25 years and over,785.0,4.4,17782.0
1064,60156,Estimate,"Some college, associate's degree",248.0,3.9,6358.0
1065,60156,Margin of Error,Bachelor's degree or higher,120.0,1.7,495.0
1066,60156,Margin of Error,High school graduate (includes equivalency),123.0,3.2,343.0
1067,60156,Margin of Error,Less than high school graduate,33.0,4.3,225.0
1068,60156,Margin of Error,Population 25 years and over,214.0,1.2,461.0
1069,60156,Margin of Error,"Some college, associate's degree",106.0,1.6,503.0
1070,60157,Estimate,Bachelor's degree or higher,0.0,0.0,589.0
1071,60157,Estimate,High school graduate (includes equivalency),29.0,5.6,516.0
1072,60157,Estimate,Less than high school graduate,0.0,0.0,77.0
1073,60157,Estimate,Population 25 years and over,29.0,1.5,1892.0
1074,60157,Estimate,"Some college, associate's degree",0.0,0.0,710.0
1075,60157,Margin of Error,Bachelor's degree or higher,12.0,5.4,144.0
1076,60157,Margin of Error,High school graduate (includes equivalency),33.0,6.6,144.0
1077,60157,Margin of Error,Less than high school graduate,12.0,32.9,50.0
1078,60157,Margin of Error,Population 25 years and over,33.0,1.8,267.0
1079,60157,Margin of Error,"Some college, associate's degree",12.0,4.5,191.0
1080,60160,Estimate,Bachelor's degree or higher,329.0,16.1,2041.0
1081,60160,Estimate,High school graduate (includes equivalency),768.0,13.9,5513.0
1082,60160,Estimate,Less than high school graduate,733.0,15.5,4716.0
1083,60160,Estimate,Population 25 years and over,2232.0,13.8,16155.0
1084,60160,Estimate,"Some college, associate's degree",402.0,10.3,3885.0
1085,60160,Margin of Error,Bachelor's degree or higher,172.0,8.2,306.0
1086,60160,Margin of Error,High school graduate (includes equivalency),246.0,4.3,635.0
1087,60160,Margin of Error,Less than high school graduate,270.0,5.5,511.0
1088,60160,Margin of Error,Population 25 years and over,533.0,3.2,686.0
1089,60160,Margin of Error,"Some college, associate's degree",136.0,3.3,431.0
1090,60162,Estimate,Bachelor's degree or higher,16.0,1.3,1258.0
1091,60162,Estimate,High school graduate (includes equivalency),126.0,8.0,1571.0
1092,60162,Estimate,Less than high school graduate,72.0,8.6,839.0
1093,60162,Estimate,Population 25 years and over,377.0,7.0,5375.0
1094,60162,Estimate,"Some college, associate's degree",163.0,9.5,1707.0
1095,60162,Margin of Error,Bachelor's degree or higher,20.0,1.6,363.0
1096,60162,Margin of Error,High school graduate (includes equivalency),73.0,4.7,303.0
1097,60162,Margin of Error,Less than high school graduate,56.0,6.7,198.0
