,Zipcode,Stats,EDUCATIONAL ATTAINMENT,Below poverty level,Percent below poverty level,Total
80,60014,Estimate,Bachelor's degree or higher,249.0,2.0,12244.0
81,60014,Estimate,High school graduate (includes equivalency),580.0,8.4,6869.0
82,60014,Estimate,Less than high school graduate,339.0,15.7,2156.0
83,60014,Estimate,Population 25 years and over,1610.0,5.1,31283.0
84,60014,Estimate,"Some college, associate's degree",442.0,4.4,10014.0
85,60014,Margin of Error,Bachelor's degree or higher,153.0,1.3,806.0
86,60014,Margin of Error,High school graduate (includes equivalency),215.0,3.0,620.0
87,60014,Margin of Error,Less than high school graduate,149.0,5.6,409.0
88,60014,Margin of Error,Population 25 years and over,370.0,1.2,828.0
89,60014,Margin of Error,"Some college, associate's degree",148.0,1.5,584.0
90,60015,Estimate,Bachelor's degree or higher,433.0,3.1,14166.0
91,60015,Estimate,High school graduate (includes equivalency),11.0,1.0,1155.0
92,60015,Estimate,Less than high school graduate,23.0,11.9,194.0
93,60015,Estimate,Population 25 years and over,604.0,3.4,17933.0
94,60015,Estimate,"Some college, associate's degree",137.0,5.7,2418.0
95,60015,Margin of Error,Bachelor's degree or higher,158.0,1.1,569.0
96,60015,Margin of Error,High school graduate (includes equivalency),18.0,1.7,254.0
97,60015,Margin of Error,Less than high school graduate,25.0,12.9,92.0
98,60015,Margin of Error,Population 25 years and over,172.0,1.0,556.0
99,60015,Margin of Error,"Some college, associate's degree",71.0,2.8,329.0
100,60016,Estimate,Bachelor's degree or higher,962.0,5.3,18280.0
101,60016,Estimate,High school graduate (includes equivalency),650.0,7.4,8798.0
102,60016,Estimate,Less than high school graduate,750.0,14.2,5297.0
103,60016,Estimate,Population 25 years and over,3424.0,7.8,43661.0
104,60016,Estimate,"Some college, associate's degree",1062.0,9.4,11286.0
105,60016,Margin of Error,Bachelor's degree or higher,286.0,1.5,1126.0
106,60016,Margin of Error,High school graduate (includes equivalency),211.0,2.3,778.0
107,60016,Margin of Error,Less than high school graduate,242.0,4.5,947.0
108,60016,Margin of Error,Population 25 years and over,536.0,1.2,1325.0
109,60016,Margin of Error,"Some college, associate's degree",288.0,2.4,827.0
110,60018,Estimate,Bachelor's degree or higher,211.0,4.2,5077.0
111,60018,Estimate,High school graduate (includes equivalency),688.0,13.5,5113.0
112,60018,Estimate,Less than high school graduate,464.0,13.7,3375.0
113,60018,Estimate,Population 25 years and over,1902.0,10.1,18835.0
114,60018,Estimate,"Some college, associate's degree",539.0,10.2,5270.0
115,60018,Margin of Error,Bachelor's degree or higher,118.0,2.2,535.0
116,60018,Margin of Error,High school graduate (includes equivalency),221.0,3.9,565.0
117,60018,Margin of Error,Less than high school graduate,192.0,5.4,509.0
118,60018,Margin of Error,Population 25 years and over,417.0,2.1,940.0
119,60018,Margin of Error,"Some college, associate's degree",186.0,3.3,553.0
120,60020,Estimate,Bachelor's degree or higher,106.0,5.4,1960.0
121,60020,Estimate,High school graduate (includes equivalency),287.0,10.4,2767.0
122,60020,Estimate,Less than high school graduate,148.0,27.2,544.0
123,60020,Estimate,Population 25 years and over,722.0,9.1,7930.0
124,60020,Estimate,"Some college, associate's degree",181.0,6.8,2659.0
125,60020,Margin of Error,Bachelor's degree or higher,70.0,3.4,361.0
126,60020,Margin of Error,High school graduate (includes equivalency),211.0,6.8,513.0
127,60020,Margin of Error,Less than high school graduate,105.0,16.8,191.0
128,60020,Margin of Error,Population 25 years and over,295.0,3.4,721.0
129,60020,Margin of Error,"Some college, associate's degree",107.0,3.8,435.0
130,60021,Estimate,Bachelor's degree or higher,25.0,1.4,1777.0
131,60021,Estimate,High school graduate (includes equivalency),25.0,3.7,669.0
132,60021,Estimate,Less than high school graduate,0.0,0.0,47.0
133,60021,Estimate,Population 25 years and over,80.0,2.1,3900.0
134,60021,Estimate,"Some college, associate's degree",30.0,2.1,1407.0
135,60021,Margin of Error,Bachelor's degree or higher,29.0,1.6,318.0
136,60021,Margin of Error,High school graduate (includes equivalency),21.0,3.3,199.0
137,60021,Margin of Error,Less than high school graduate,17.0,43.3,59.0
138,60021,Margin of Error,Population 25 years and over,56.0,1.4,340.0
139,60021,Margin of Error,"Some college, associate's degree",37.0,2.6,315.0
140,60022,Estimate,Bachelor's degree or higher,99.0,2.2,4550.0
141,60022,Estimate,High school graduate (includes equivalency),8.0,3.1,258.0
142,60022,Estimate,Less than high school graduate,3.0,30.0,10.0
143,60022,Estimate,Population 25 years and over,123.0,2.2,5484.0
144,60022,Estimate,"Some college, associate's degree",13.0,2.0,666.0
145,60022,Margin of Error,Bachelor's degree or higher,71.0,1.5,421.0
146,60022,Margin of Error,High school graduate (includes equivalency),9.0,4.1,147.0
147,60022,Margin of Error,Less than high school graduate,3.0,44.1,10.0
148,60022,Margin of Error,Population 25 years and over,74.0,1.3,331.0
149,60022,Margin of Error,"Some college, associate's degree",14.0,2.3,239.0
150,60025,Estimate,Bachelor's degree or higher,663.0,3.6,18185.0
151,60025,Estimate,High school graduate (includes equivalency),334.0,9.2,3637.0
152,60025,Estimate,Less than high school graduate,244.0,16.1,1512.0
153,60025,Estimate,Population 25 years and over,1760.0,6.1,28804.0
154,60025,Estimate,"Some college, associate's degree",519.0,9.5,5470.0
155,60025,Margin of Error,Bachelor's degree or higher,213.0,1.2,962.0
156,60025,Margin of Error,High school graduate (includes equivalency),127.0,3.3,589.0
157,60025,Margin of Error,Less than high school graduate,150.0,8.9,365.0
