,Zipcode,Age group,Estimate
4923,61831,15 to 19 years,0.0
4924,61832,15 to 19 years,2629.0
4925,61833,15 to 19 years,41.0
4926,61834,15 to 19 years,328.0
4927,61839,15 to 19 years,81.0
4928,61840,15 to 19 years,51.0
4929,61841,15 to 19 years,68.0
4930,61842,15 to 19 years,157.0
4931,61843,15 to 19 years,126.0
4932,61844,15 to 19 years,99.0
4933,61845,15 to 19 years,8.0
4934,61846,15 to 19 years,232.0
4935,61847,15 to 19 years,42.0
4936,61848,15 to 19 years,5.0
4937,61849,15 to 19 years,155.0
4938,61850,15 to 19 years,24.0
4939,61851,15 to 19 years,14.0
4940,61852,15 to 19 years,7.0
4941,61853,15 to 19 years,985.0
4942,61854,15 to 19 years,97.0
4943,61855,15 to 19 years,5.0
4944,61856,15 to 19 years,373.0
4945,61857,15 to 19 years,10.0
4946,61858,15 to 19 years,146.0
4947,61859,15 to 19 years,50.0
4948,61862,15 to 19 years,15.0
4949,61863,15 to 19 years,25.0
4950,61864,15 to 19 years,172.0
4951,61865,15 to 19 years,107.0
4952,61866,15 to 19 years,1341.0
4953,61870,15 to 19 years,124.0
4954,61871,15 to 19 years,7.0
4955,61872,15 to 19 years,25.0
4956,61873,15 to 19 years,350.0
4957,61874,15 to 19 years,418.0
4958,61875,15 to 19 years,39.0
4959,61876,15 to 19 years,21.0
4960,61877,15 to 19 years,45.0
4961,61878,15 to 19 years,27.0
4962,61880,15 to 19 years,338.0
4963,61882,15 to 19 years,43.0
4964,61883,15 to 19 years,244.0
4965,61884,15 to 19 years,25.0
4966,61910,15 to 19 years,497.0
4967,61911,15 to 19 years,388.0
4968,61912,15 to 19 years,64.0
4969,61913,15 to 19 years,113.0
4970,61914,15 to 19 years,106.0
4971,61917,15 to 19 years,16.0
4972,61919,15 to 19 years,30.0
4973,61920,15 to 19 years,2358.0
4974,61924,15 to 19 years,69.0
4975,61925,15 to 19 years,76.0
4976,61928,15 to 19 years,26.0
4977,61929,15 to 19 years,21.0
4978,61930,15 to 19 years,39.0
4979,61931,15 to 19 years,38.0
4980,61932,15 to 19 years,30.0
4981,61933,15 to 19 years,91.0
4982,61936,15 to 19 years,25.0
4983,61937,15 to 19 years,67.0
4984,61938,15 to 19 years,1362.0
4985,61940,15 to 19 years,26.0
4986,61941,15 to 19 years,0.0
4987,61942,15 to 19 years,57.0
4988,61943,15 to 19 years,106.0
4989,61944,15 to 19 years,709.0
4990,61949,15 to 19 years,4.0
4991,61951,15 to 19 years,558.0
4992,61953,15 to 19 years,441.0
4993,61955,15 to 19 years,42.0
4994,61956,15 to 19 years,173.0
4995,61957,15 to 19 years,88.0
4996,62001,15 to 19 years,74.0
4997,62002,15 to 19 years,1787.0
4998,62006,15 to 19 years,16.0
4999,62009,15 to 19 years,145.0
5000,62010,15 to 19 years,565.0
5001,62011,15 to 19 years,10.0
5002,62012,15 to 19 years,387.0
5003,62013,15 to 19 years,41.0
5004,62014,15 to 19 years,216.0
5005,62015,15 to 19 years,40.0
5006,62016,15 to 19 years,219.0
5007,62017,15 to 19 years,32.0
5008,62018,15 to 19 years,117.0
5009,62019,15 to 19 years,11.0
5010,62021,15 to 19 years,13.0
5011,62022,15 to 19 years,43.0
5012,62023,15 to 19 years,21.0
5013,62024,15 to 19 years,573.0
5014,62025,15 to 19 years,3597.0
5015,62027,15 to 19 years,83.0
5016,62028,15 to 19 years,275.0
5017,62030,15 to 19 years,1.0
5018,62031,15 to 19 years,40.0
5019,62032,15 to 19 years,63.0
5020,62033,15 to 19 years,184.0
5021,62034,15 to 19 years,650.0
5022,62035,15 to 19 years,607.0
5023,62036,15 to 19 years,37.0
5024,62037,15 to 19 years,109.0
5025,62040,15 to 19 years,2465.0
5026,62044,15 to 19 years,143.0
5027,62045,15 to 19 years,18.0
5028,62046,15 to 19 years,75.0
5029,62047,15 to 19 years,104.0
5030,62048,15 to 19 years,190.0
5031,62049,15 to 19 years,408.0
5032,62050,15 to 19 years,3.0
5033,62051,15 to 19 years,64.0
5034,62052,15 to 19 years,763.0
5035,62053,15 to 19 years,42.0
5036,62054,15 to 19 years,59.0
5037,62056,15 to 19 years,415.0
5038,62058,15 to 19 years,18.0
5039,62059,15 to 19 years,3.0
5040,62060,15 to 19 years,146.0
5041,62061,15 to 19 years,106.0
5042,62062,15 to 19 years,288.0
5043,62063,15 to 19 years,27.0
5044,62065,15 to 19 years,34.0
5045,62067,15 to 19 years,225.0
5046,62069,15 to 19 years,131.0
5047,62070,15 to 19 years,0.0
5048,62074,15 to 19 years,51.0
5049,62075,15 to 19 years,222.0
5050,62076,15 to 19 years,3.0
5051,62077,15 to 19 years,6.0
5052,62078,15 to 19 years,5.0
5053,62079,15 to 19 years,39.0
5054,62080,15 to 19 years,219.0
5055,62081,15 to 19 years,17.0
5056,62082,15 to 19 years,87.0
5057,62083,15 to 19 years,14.0
5058,62084,15 to 19 years,99.0
5059,62085,15 to 19 years,9.0
5060,62086,15 to 19 years,82.0
5061,62087,15 to 19 years,106.0
5062,62088,15 to 19 years,415.0
5063,62089,15 to 19 years,14.0
5064,62090,15 to 19 years,41.0
5065,62091,15 to 19 years,4.0
5066,62092,15 to 19 years,196.0
5067,62093,15 to 19 years,3.0
5068,62094,15 to 19 years,58.0
5069,62095,15 to 19 years,593.0
5070,62097,15 to 19 years,323.0
5071,62098,15 to 19 years,0.0
5072,62201,15 to 19 years,474.0
5073,62203,15 to 19 years,465.0
5074,62204,15 to 19 years,608.0
5075,62205,15 to 19 years,335.0
5076,62206,15 to 19 years,1276.0
5077,62207,15 to 19 years,564.0
5078,62208,15 to 19 years,1107.0
5079,62214,15 to 19 years,70.0
5080,62215,15 to 19 years,168.0
5081,62216,15 to 19 years,262.0
5082,62217,15 to 19 years,15.0
5083,62218,15 to 19 years,134.0
5084,62219,15 to 19 years,13.0
5085,62220,15 to 19 years,1048.0
5086,62221,15 to 19 years,1985.0
5087,62223,15 to 19 years,810.0
5088,62225,15 to 19 years,414.0
5089,62226,15 to 19 years,1235.0
5090,62230,15 to 19 years,321.0
5091,62231,15 to 19 years,407.0
5092,62232,15 to 19 years,395.0
5093,62233,15 to 19 years,406.0
5094,62234,15 to 19 years,1820.0
5095,62236,15 to 19 years,891.0
5096,62237,15 to 19 years,91.0
5097,62238,15 to 19 years,52.0
5098,62239,15 to 19 years,364.0
5099,62240,15 to 19 years,89.0
5100,62241,15 to 19 years,49.0
5101,62242,15 to 19 years,95.0
5102,62243,15 to 19 years,370.0
5103,62244,15 to 19 years,49.0
5104,62245,15 to 19 years,165.0
5105,62246,15 to 19 years,676.0
5106,62248,15 to 19 years,27.0
5107,62249,15 to 19 years,866.0
5108,62250,15 to 19 years,52.0
5109,62253,15 to 19 years,45.0
5110,62254,15 to 19 years,531.0
5111,62255,15 to 19 years,63.0
5112,62257,15 to 19 years,150.0
5113,62258,15 to 19 years,666.0
5114,62260,15 to 19 years,462.0
5115,62261,15 to 19 years,0.0
5116,62262,15 to 19 years,131.0
5117,62263,15 to 19 years,199.0
5118,62264,15 to 19 years,254.0
5119,62265,15 to 19 years,114.0
5120,62266,15 to 19 years,0.0
5121,62268,15 to 19 years,136.0
5122,62269,15 to 19 years,1942.0
5123,62271,15 to 19 years,114.0
5124,62272,15 to 19 years,143.0
5125,62273,15 to 19 years,7.0
5126,62274,15 to 19 years,395.0
5127,62275,15 to 19 years,187.0
5128,62277,15 to 19 years,40.0
5129,62278,15 to 19 years,356.0
5130,62279,15 to 19 years,0.0
5131,62280,15 to 19 years,39.0
5132,62281,15 to 19 years,158.0
5133,62282,15 to 19 years,24.0
5134,62284,15 to 19 years,23.0
5135,62285,15 to 19 years,366.0
5136,62286,15 to 19 years,480.0
5137,62288,15 to 19 years,214.0
5138,62289,15 to 19 years,27.0
5139,62292,15 to 19 years,33.0
5140,62293,15 to 19 years,212.0
5141,62294,15 to 19 years,714.0
5142,62295,15 to 19 years,102.0
5143,62297,15 to 19 years,53.0
5144,62298,15 to 19 years,950.0
5145,62301,15 to 19 years,1828.0
5146,62305,15 to 19 years,943.0
5147,62311,15 to 19 years,71.0
5148,62312,15 to 19 years,64.0
5149,62313,15 to 19 years,19.0
5150,62314,15 to 19 years,57.0
5151,62316,15 to 19 years,25.0
5152,62319,15 to 19 years,1.0
5153,62320,15 to 19 years,214.0
5154,62321,15 to 19 years,202.0
5155,62323,15 to 19 years,6.0
5156,62324,15 to 19 years,87.0
5157,62325,15 to 19 years,41.0
5158,62326,15 to 19 years,153.0
5159,62330,15 to 19 years,129.0
5160,62334,15 to 19 years,0.0
5161,62336,15 to 19 years,0.0
5162,62338,15 to 19 years,62.0
5163,62339,15 to 19 years,54.0
5164,62340,15 to 19 years,110.0
5165,62341,15 to 19 years,180.0
5166,62343,15 to 19 years,77.0
5167,62344,15 to 19 years,0.0
5168,62345,15 to 19 years,26.0
5169,62346,15 to 19 years,18.0
5170,62347,15 to 19 years,139.0
5171,62348,15 to 19 years,0.0
5172,62349,15 to 19 years,23.0
5173,62351,15 to 19 years,109.0
5174,62352,15 to 19 years,18.0
5175,62353,15 to 19 years,218.0
5176,62354,15 to 19 years,108.0
5177,62355,15 to 19 years,32.0
5178,62356,15 to 19 years,186.0
5179,62357,15 to 19 years,6.0
5180,62358,15 to 19 years,40.0
5181,62359,15 to 19 years,47.0
5182,62360,15 to 19 years,96.0
5183,62361,15 to 19 years,18.0
5184,62362,15 to 19 years,14.0
5185,62363,15 to 19 years,245.0
5186,62365,15 to 19 years,51.0
5187,62366,15 to 19 years,89.0
5188,62367,15 to 19 years,53.0
5189,62370,15 to 19 years,7.0
5190,62373,15 to 19 years,14.0
5191,62374,15 to 19 years,19.0
5192,62375,15 to 19 years,22.0
5193,62376,15 to 19 years,50.0
5194,62378,15 to 19 years,17.0
5195,62379,15 to 19 years,78.0
5196,62380,15 to 19 years,28.0
5197,62401,15 to 19 years,979.0
5198,62410,15 to 19 years,74.0
5199,62411,15 to 19 years,243.0
5200,62413,15 to 19 years,19.0
5201,62414,15 to 19 years,188.0
5202,62417,15 to 19 years,150.0
5203,62418,15 to 19 years,136.0
5204,62419,15 to 19 years,7.0
5205,62420,15 to 19 years,271.0
5206,62421,15 to 19 years,86.0
5207,62422,15 to 19 years,75.0
5208,62423,15 to 19 years,16.0
5209,62424,15 to 19 years,151.0
5210,62425,15 to 19 years,25.0
5211,62426,15 to 19 years,70.0
5212,62427,15 to 19 years,112.0
5213,62428,15 to 19 years,215.0
5214,62431,15 to 19 years,74.0
5215,62432,15 to 19 years,113.0
5216,62433,15 to 19 years,82.0
5217,62434,15 to 19 years,0.0
5218,62436,15 to 19 years,10.0
5219,62438,15 to 19 years,0.0
5220,62439,15 to 19 years,353.0
5221,62440,15 to 19 years,73.0
5222,62441,15 to 19 years,483.0
5223,62442,15 to 19 years,153.0
5224,62443,15 to 19 years,127.0
5225,62444,15 to 19 years,22.0
5226,62445,15 to 19 years,116.0
5227,62446,15 to 19 years,28.0
5228,62447,15 to 19 years,128.0
5229,62448,15 to 19 years,351.0
5230,62449,15 to 19 years,132.0
5231,62450,15 to 19 years,705.0
5232,62451,15 to 19 years,134.0
5233,62452,15 to 19 years,15.0
5234,62454,15 to 19 years,486.0
5235,62458,15 to 19 years,93.0
5236,62459,15 to 19 years,9.0
5237,62460,15 to 19 years,46.0
5238,62461,15 to 19 years,6.0
5239,62462,15 to 19 years,37.0
5240,62463,15 to 19 years,99.0
5241,62465,15 to 19 years,57.0
5242,62466,15 to 19 years,166.0
5243,62467,15 to 19 years,369.0
5244,62468,15 to 19 years,93.0
5245,62469,15 to 19 years,39.0
5246,62471,15 to 19 years,474.0
5247,62473,15 to 19 years,71.0
5248,62474,15 to 19 years,53.0
5249,62475,15 to 19 years,0.0
5250,62476,15 to 19 years,106.0
5251,62477,15 to 19 years,23.0
5252,62478,15 to 19 years,12.0
5253,62479,15 to 19 years,17.0
5254,62480,15 to 19 years,17.0
5255,62481,15 to 19 years,20.0
5256,62501,15 to 19 years,165.0
5257,62510,15 to 19 years,96.0
5258,62512,15 to 19 years,46.0
5259,62513,15 to 19 years,75.0
5260,62514,15 to 19 years,8.0
5261,62515,15 to 19 years,70.0
5262,62517,15 to 19 years,31.0
5263,62518,15 to 19 years,0.0
5264,62519,15 to 19 years,0.0
5265,62520,15 to 19 years,71.0
5266,62521,15 to 19 years,2305.0
5267,62522,15 to 19 years,1436.0
5268,62523,15 to 19 years,47.0
5269,62526,15 to 19 years,1401.0
5270,62530,15 to 19 years,48.0
5271,62531,15 to 19 years,97.0
5272,62532,15 to 19 years,0.0
5273,62533,15 to 19 years,38.0
5274,62534,15 to 19 years,61.0
5275,62535,15 to 19 years,262.0
5276,62536,15 to 19 years,51.0
5277,62537,15 to 19 years,22.0
5278,62538,15 to 19 years,20.0
5279,62539,15 to 19 years,44.0
5280,62540,15 to 19 years,104.0
5281,62541,15 to 19 years,0.0
5282,62543,15 to 19 years,24.0
5283,62544,15 to 19 years,69.0
5284,62545,15 to 19 years,80.0
5285,62546,15 to 19 years,75.0
5286,62547,15 to 19 years,46.0
5287,62548,15 to 19 years,156.0
5288,62549,15 to 19 years,372.0
5289,62550,15 to 19 years,231.0
5290,62551,15 to 19 years,40.0
5291,62553,15 to 19 years,3.0
5292,62554,15 to 19 years,118.0
5293,62555,15 to 19 years,45.0
5294,62556,15 to 19 years,40.0
5295,62557,15 to 19 years,407.0
5296,62558,15 to 19 years,132.0
5297,62560,15 to 19 years,110.0
5298,62561,15 to 19 years,313.0
5299,62563,15 to 19 years,413.0
5300,62565,15 to 19 years,352.0
5301,62567,15 to 19 years,48.0
5302,62568,15 to 19 years,714.0
5303,62570,15 to 19 years,53.0
5304,62571,15 to 19 years,110.0
5305,62572,15 to 19 years,19.0
5306,62573,15 to 19 years,199.0
5307,62601,15 to 19 years,19.0
5308,62610,15 to 19 years,6.0
5309,62611,15 to 19 years,31.0
5310,62612,15 to 19 years,102.0
5311,62613,15 to 19 years,293.0
5312,62615,15 to 19 years,451.0
5313,62617,15 to 19 years,24.0
5314,62618,15 to 19 years,447.0
5315,62621,15 to 19 years,96.0
5316,62622,15 to 19 years,0.0
5317,62624,15 to 19 years,55.0
5318,62625,15 to 19 years,44.0
5319,62626,15 to 19 years,532.0
5320,62627,15 to 19 years,82.0
5321,62628,15 to 19 years,86.0
5322,62629,15 to 19 years,954.0
5323,62630,15 to 19 years,61.0
5324,62631,15 to 19 years,2.0
5325,62633,15 to 19 years,50.0
5326,62634,15 to 19 years,55.0
5327,62635,15 to 19 years,11.0
5328,62638,15 to 19 years,50.0
5329,62639,15 to 19 years,8.0
5330,62640,15 to 19 years,172.0
5331,62642,15 to 19 years,128.0
5332,62643,15 to 19 years,50.0
5333,62644,15 to 19 years,225.0
5334,62649,15 to 19 years,24.0
5335,62650,15 to 19 years,1820.0
5336,62655,15 to 19 years,24.0
5337,62656,15 to 19 years,1328.0
5338,62661,15 to 19 years,89.0
5339,62663,15 to 19 years,10.0
5340,62664,15 to 19 years,258.0
5341,62665,15 to 19 years,79.0
5342,62666,15 to 19 years,32.0
5343,62667,15 to 19 years,55.0
5344,62668,15 to 19 years,71.0
5345,62670,15 to 19 years,147.0
5346,62671,15 to 19 years,27.0
5347,62672,15 to 19 years,4.0
5348,62673,15 to 19 years,16.0
5349,62674,15 to 19 years,134.0
5350,62675,15 to 19 years,234.0
5351,62677,15 to 19 years,71.0
5352,62681,15 to 19 years,407.0
5353,62682,15 to 19 years,17.0
5354,62684,15 to 19 years,431.0
5355,62685,15 to 19 years,135.0
5356,62688,15 to 19 years,60.0
5357,62689,15 to 19 years,40.0
5358,62690,15 to 19 years,386.0
5359,62691,15 to 19 years,95.0
5360,62692,15 to 19 years,116.0
5361,62693,15 to 19 years,114.0
5362,62694,15 to 19 years,172.0
5363,62695,15 to 19 years,7.0
5364,62701,15 to 19 years,55.0
5365,62702,15 to 19 years,1430.0
5366,62703,15 to 19 years,2816.0
5367,62704,15 to 19 years,2353.0
5368,62707,15 to 19 years,465.0
5369,62711,15 to 19 years,862.0
5370,62712,15 to 19 years,729.0
5371,62801,15 to 19 years,1129.0
5372,62803,15 to 19 years,107.0
5373,62806,15 to 19 years,242.0
5374,62807,15 to 19 years,55.0
5375,62808,15 to 19 years,159.0
5376,62809,15 to 19 years,2.0
5377,62810,15 to 19 years,53.0
5378,62811,15 to 19 years,13.0
5379,62812,15 to 19 years,694.0
5380,62814,15 to 19 years,149.0
5381,62815,15 to 19 years,16.0
5382,62816,15 to 19 years,53.0
5383,62817,15 to 19 years,30.0
5384,62818,15 to 19 years,24.0
5385,62819,15 to 19 years,15.0
5386,62820,15 to 19 years,0.0
5387,62821,15 to 19 years,351.0
5388,62822,15 to 19 years,190.0
5389,62823,15 to 19 years,99.0
5390,62824,15 to 19 years,77.0
5391,62825,15 to 19 years,14.0
5392,62827,15 to 19 years,48.0
5393,62828,15 to 19 years,132.0
5394,62829,15 to 19 years,0.0
5395,62830,15 to 19 years,65.0
5396,62831,15 to 19 years,20.0
5397,62832,15 to 19 years,549.0
5398,62833,15 to 19 years,0.0
5399,62835,15 to 19 years,39.0
5400,62836,15 to 19 years,42.0
5401,62837,15 to 19 years,537.0
5402,62838,15 to 19 years,82.0
5403,62839,15 to 19 years,476.0
5404,62841,15 to 19 years,22.0
5405,62842,15 to 19 years,39.0
5406,62843,15 to 19 years,9.0
5407,62844,15 to 19 years,90.0
5408,62846,15 to 19 years,61.0
5409,62848,15 to 19 years,23.0
5410,62849,15 to 19 years,96.0
5411,62850,15 to 19 years,30.0
5412,62851,15 to 19 years,0.0
5413,62852,15 to 19 years,6.0
5414,62853,15 to 19 years,63.0
5415,62854,15 to 19 years,150.0
5416,62856,15 to 19 years,17.0
5417,62858,15 to 19 years,114.0
5418,62859,15 to 19 years,281.0
5419,62860,15 to 19 years,16.0
5420,62861,15 to 19 years,16.0
5421,62862,15 to 19 years,13.0
5422,62863,15 to 19 years,494.0
5423,62864,15 to 19 years,1178.0
5424,62865,15 to 19 years,87.0
5425,62867,15 to 19 years,42.0
5426,62868,15 to 19 years,84.0
5427,62869,15 to 19 years,182.0
5428,62870,15 to 19 years,117.0
5429,62871,15 to 19 years,39.0
5430,62872,15 to 19 years,74.0
5431,62874,15 to 19 years,28.0
5432,62875,15 to 19 years,60.0
5433,62876,15 to 19 years,2.0
5434,62877,15 to 19 years,72.0
5435,62878,15 to 19 years,63.0
5436,62879,15 to 19 years,9.0
5437,62880,15 to 19 years,13.0
5438,62881,15 to 19 years,526.0
5439,62882,15 to 19 years,164.0
5440,62883,15 to 19 years,102.0
5441,62884,15 to 19 years,135.0
5442,62885,15 to 19 years,19.0
5443,62886,15 to 19 years,13.0
5444,62887,15 to 19 years,81.0
5445,62888,15 to 19 years,75.0
5446,62889,15 to 19 years,111.0
5447,62890,15 to 19 years,118.0
5448,62891,15 to 19 years,38.0
5449,62892,15 to 19 years,20.0
5450,62893,15 to 19 years,56.0
5451,62894,15 to 19 years,90.0
5452,62895,15 to 19 years,91.0
5453,62896,15 to 19 years,728.0
5454,62897,15 to 19 years,26.0
5455,62898,15 to 19 years,134.0
5456,62899,15 to 19 years,28.0
5457,62901,15 to 19 years,3470.0
5458,62902,15 to 19 years,208.0
5459,62903,15 to 19 years,160.0
5460,62905,15 to 19 years,42.0
5461,62906,15 to 19 years,309.0
5462,62907,15 to 19 years,119.0
5463,62908,15 to 19 years,40.0
5464,62910,15 to 19 years,89.0
5465,62912,15 to 19 years,72.0
5466,62914,15 to 19 years,180.0
5467,62915,15 to 19 years,10.0
5468,62916,15 to 19 years,58.0
5469,62917,15 to 19 years,171.0
5470,62918,15 to 19 years,623.0
5471,62919,15 to 19 years,32.0
5472,62920,15 to 19 years,244.0
5473,62921,15 to 19 years,2.0
5474,62922,15 to 19 years,256.0
5475,62923,15 to 19 years,29.0
5476,62924,15 to 19 years,183.0
5477,62926,15 to 19 years,160.0
5478,62927,15 to 19 years,14.0
5479,62928,15 to 19 years,3.0
5480,62930,15 to 19 years,151.0
5481,62931,15 to 19 years,84.0
5482,62932,15 to 19 years,32.0
5483,62933,15 to 19 years,28.0
5484,62934,15 to 19 years,38.0
5485,62935,15 to 19 years,137.0
5486,62938,15 to 19 years,166.0
5487,62939,15 to 19 years,148.0
5488,62940,15 to 19 years,10.0
5489,62941,15 to 19 years,57.0
5490,62942,15 to 19 years,41.0
5491,62943,15 to 19 years,14.0
5492,62946,15 to 19 years,738.0
5493,62947,15 to 19 years,10.0
5494,62948,15 to 19 years,765.0
5495,62949,15 to 19 years,46.0
5496,62950,15 to 19 years,8.0
5497,62951,15 to 19 years,272.0
5498,62952,15 to 19 years,195.0
5499,62953,15 to 19 years,27.0
5500,62954,15 to 19 years,7.0
5501,62956,15 to 19 years,66.0
5502,62957,15 to 19 years,19.0
5503,62958,15 to 19 years,160.0
5504,62959,15 to 19 years,1259.0
5505,62960,15 to 19 years,507.0
5506,62961,15 to 19 years,4.0
5507,62962,15 to 19 years,0.0
5508,62963,15 to 19 years,93.0
5509,62964,15 to 19 years,56.0
5510,62965,15 to 19 years,14.0
5511,62966,15 to 19 years,771.0
5512,62967,15 to 19 years,8.0
5513,62969,15 to 19 years,35.0
5514,62970,15 to 19 years,24.0
5515,62972,15 to 19 years,65.0
5516,62974,15 to 19 years,88.0
5517,62975,15 to 19 years,0.0
5518,62976,15 to 19 years,36.0
5519,62977,15 to 19 years,55.0
5520,62979,15 to 19 years,71.0
5521,62982,15 to 19 years,53.0
5522,62983,15 to 19 years,40.0
5523,62984,15 to 19 years,60.0
5524,62985,15 to 19 years,27.0
5525,62987,15 to 19 years,77.0
5526,62988,15 to 19 years,66.0
5527,62990,15 to 19 years,41.0
5528,62992,15 to 19 years,101.0
5529,62994,15 to 19 years,40.0
5530,62995,15 to 19 years,245.0
5531,62996,15 to 19 years,28.0
5532,62997,15 to 19 years,51.0
5533,62998,15 to 19 years,0.0
5534,62999,15 to 19 years,81.0
5535,63673,15 to 19 years,122.0
5536,60002,20 to 24 years,1343.0
5537,60004,20 to 24 years,1829.0
5538,60005,20 to 24 years,804.0
5539,60007,20 to 24 years,1465.0
5540,60008,20 to 24 years,1174.0
5541,60010,20 to 24 years,1689.0
5542,60012,20 to 24 years,560.0
5543,60013,20 to 24 years,1479.0
5544,60014,20 to 24 years,2977.0
5545,60015,20 to 24 years,1641.0
5546,60016,20 to 24 years,2812.0
5547,60018,20 to 24 years,1669.0
5548,60020,20 to 24 years,607.0
5549,60021,20 to 24 years,177.0
5550,60022,20 to 24 years,451.0
5551,60025,20 to 24 years,1327.0
5552,60026,20 to 24 years,333.0
5553,60029,20 to 24 years,11.0
5554,60030,20 to 24 years,2353.0
5555,60031,20 to 24 years,2977.0
5556,60033,20 to 24 years,822.0
5557,60034,20 to 24 years,156.0
5558,60035,20 to 24 years,817.0
5559,60040,20 to 24 years,281.0
5560,60041,20 to 24 years,529.0
5561,60042,20 to 24 years,459.0
5562,60043,20 to 24 years,113.0
5563,60044,20 to 24 years,699.0
5564,60045,20 to 24 years,1359.0
5565,60046,20 to 24 years,2185.0
5566,60047,20 to 24 years,2276.0
5567,60048,20 to 24 years,1594.0
5568,60050,20 to 24 years,2210.0
5569,60051,20 to 24 years,1213.0
5570,60053,20 to 24 years,819.0
5571,60056,20 to 24 years,2009.0
5572,60060,20 to 24 years,2308.0
5573,60061,20 to 24 years,1159.0
5574,60062,20 to 24 years,1466.0
5575,60064,20 to 24 years,1780.0
5576,60067,20 to 24 years,1193.0
5577,60068,20 to 24 years,1290.0
5578,60069,20 to 24 years,390.0
5579,60070,20 to 24 years,420.0
5580,60071,20 to 24 years,241.0
5581,60072,20 to 24 years,57.0
5582,60073,20 to 24 years,4623.0
5583,60074,20 to 24 years,2173.0
5584,60076,20 to 24 years,1263.0
5585,60077,20 to 24 years,1455.0
5586,60081,20 to 24 years,512.0
5587,60083,20 to 24 years,729.0
5588,60084,20 to 24 years,969.0
5589,60085,20 to 24 years,6665.0
5590,60087,20 to 24 years,1548.0
5591,60088,20 to 24 years,4591.0
5592,60089,20 to 24 years,2252.0
5593,60090,20 to 24 years,1862.0
5594,60091,20 to 24 years,592.0
5595,60093,20 to 24 years,563.0
5596,60096,20 to 24 years,450.0
5597,60097,20 to 24 years,609.0
5598,60098,20 to 24 years,2267.0
5599,60099,20 to 24 years,2686.0
5600,60101,20 to 24 years,2303.0
5601,60102,20 to 24 years,1705.0
5602,60103,20 to 24 years,2469.0
5603,60104,20 to 24 years,1163.0
5604,60106,20 to 24 years,1446.0
5605,60107,20 to 24 years,2341.0
5606,60108,20 to 24 years,1467.0
5607,60109,20 to 24 years,67.0
5608,60110,20 to 24 years,2977.0
5609,60111,20 to 24 years,0.0
5610,60112,20 to 24 years,397.0
5611,60113,20 to 24 years,38.0
5612,60115,20 to 24 years,10711.0
5613,60118,20 to 24 years,887.0
5614,60119,20 to 24 years,699.0
5615,60120,20 to 24 years,3680.0
5616,60123,20 to 24 years,3227.0
5617,60124,20 to 24 years,1034.0
5618,60126,20 to 24 years,2759.0
5619,60129,20 to 24 years,11.0
5620,60130,20 to 24 years,904.0
5621,60131,20 to 24 years,1061.0
5622,60133,20 to 24 years,2412.0
5623,60134,20 to 24 years,1646.0
5624,60135,20 to 24 years,588.0
5625,60136,20 to 24 years,93.0
5626,60137,20 to 24 years,1925.0
5627,60139,20 to 24 years,2544.0
5628,60140,20 to 24 years,1193.0
5629,60141,20 to 24 years,6.0
5630,60142,20 to 24 years,705.0
5631,60143,20 to 24 years,528.0
5632,60144,20 to 24 years,0.0
5633,60145,20 to 24 years,191.0
5634,60146,20 to 24 years,135.0
5635,60148,20 to 24 years,3304.0
5636,60150,20 to 24 years,113.0
5637,60151,20 to 24 years,151.0
5638,60152,20 to 24 years,956.0
5639,60153,20 to 24 years,1910.0
5640,60154,20 to 24 years,763.0
5641,60155,20 to 24 years,187.0
5642,60156,20 to 24 years,2208.0
5643,60157,20 to 24 years,317.0
5644,60160,20 to 24 years,1747.0
5645,60162,20 to 24 years,647.0
5646,60163,20 to 24 years,376.0
5647,60164,20 to 24 years,1280.0
5648,60165,20 to 24 years,303.0
5649,60169,20 to 24 years,2219.0
5650,60171,20 to 24 years,493.0
5651,60172,20 to 24 years,1865.0
5652,60173,20 to 24 years,697.0
5653,60174,20 to 24 years,2162.0
5654,60175,20 to 24 years,1592.0
5655,60176,20 to 24 years,730.0
5656,60177,20 to 24 years,1200.0
5657,60178,20 to 24 years,1579.0
5658,60180,20 to 24 years,114.0
5659,60181,20 to 24 years,2592.0
5660,60184,20 to 24 years,195.0
5661,60185,20 to 24 years,2376.0
5662,60187,20 to 24 years,2619.0
5663,60188,20 to 24 years,2814.0
5664,60189,20 to 24 years,1699.0
5665,60190,20 to 24 years,491.0
5666,60191,20 to 24 years,1023.0
5667,60192,20 to 24 years,456.0
5668,60193,20 to 24 years,1447.0
5669,60194,20 to 24 years,648.0
5670,60195,20 to 24 years,353.0
5671,60201,20 to 24 years,6423.0
5672,60202,20 to 24 years,1519.0
5673,60203,20 to 24 years,163.0
5674,60301,20 to 24 years,202.0
5675,60302,20 to 24 years,1262.0
5676,60304,20 to 24 years,805.0
5677,60305,20 to 24 years,525.0
5678,60401,20 to 24 years,432.0
5679,60402,20 to 24 years,4105.0
5680,60403,20 to 24 years,1721.0
5681,60404,20 to 24 years,848.0
5682,60406,20 to 24 years,2265.0
5683,60407,20 to 24 years,86.0
5684,60408,20 to 24 years,426.0
5685,60409,20 to 24 years,3032.0
5686,60410,20 to 24 years,714.0
5687,60411,20 to 24 years,4185.0
5688,60415,20 to 24 years,590.0
5689,60416,20 to 24 years,428.0
5690,60417,20 to 24 years,1105.0
5691,60419,20 to 24 years,1624.0
5692,60420,20 to 24 years,287.0
