,Zipcode,Age group,Estimate
192,60459,Under 5 years,1783.0
193,60460,Under 5 years,96.0
194,60461,Under 5 years,216.0
195,60462,Under 5 years,2369.0
196,60463,Under 5 years,615.0
197,60464,Under 5 years,317.0
198,60465,Under 5 years,871.0
199,60466,Under 5 years,1077.0
200,60467,Under 5 years,1115.0
201,60468,Under 5 years,161.0
202,60469,Under 5 years,406.0
203,60470,Under 5 years,20.0
204,60471,Under 5 years,856.0
205,60472,Under 5 years,214.0
206,60473,Under 5 years,1047.0
207,60474,Under 5 years,44.0
208,60475,Under 5 years,526.0
209,60476,Under 5 years,72.0
210,60477,Under 5 years,2084.0
211,60478,Under 5 years,659.0
212,60479,Under 5 years,48.0
213,60480,Under 5 years,197.0
214,60481,Under 5 years,610.0
215,60482,Under 5 years,517.0
216,60484,Under 5 years,796.0
217,60487,Under 5 years,1311.0
218,60490,Under 5 years,1243.0
219,60491,Under 5 years,1217.0
220,60501,Under 5 years,984.0
221,60502,Under 5 years,1392.0
222,60503,Under 5 years,1131.0
223,60504,Under 5 years,3365.0
224,60505,Under 5 years,4794.0
225,60506,Under 5 years,3506.0
226,60510,Under 5 years,2372.0
227,60511,Under 5 years,123.0
228,60512,Under 5 years,46.0
229,60513,Under 5 years,1400.0
230,60514,Under 5 years,553.0
231,60515,Under 5 years,1348.0
232,60516,Under 5 years,2078.0
233,60517,Under 5 years,1943.0
234,60518,Under 5 years,262.0
235,60519,Under 5 years,0.0
236,60520,Under 5 years,182.0
237,60521,Under 5 years,1024.0
238,60523,Under 5 years,387.0
239,60525,Under 5 years,1662.0
240,60526,Under 5 years,949.0
241,60527,Under 5 years,1297.0
242,60530,Under 5 years,36.0
243,60531,Under 5 years,90.0
244,60532,Under 5 years,1816.0
245,60534,Under 5 years,859.0
246,60536,Under 5 years,9.0
247,60537,Under 5 years,38.0
248,60538,Under 5 years,1755.0
249,60539,Under 5 years,0.0
250,60540,Under 5 years,2413.0
251,60541,Under 5 years,261.0
252,60542,Under 5 years,949.0
253,60543,Under 5 years,2818.0
254,60544,Under 5 years,1556.0
255,60545,Under 5 years,1247.0
256,60546,Under 5 years,710.0
257,60548,Under 5 years,831.0
258,60549,Under 5 years,0.0
259,60550,Under 5 years,52.0
260,60551,Under 5 years,125.0
261,60552,Under 5 years,329.0
262,60553,Under 5 years,65.0
263,60554,Under 5 years,490.0
264,60555,Under 5 years,459.0
265,60556,Under 5 years,178.0
266,60557,Under 5 years,0.0
267,60558,Under 5 years,1172.0
